systemName;region;route;banner;abbrev;city;root;altRouteNames
ausjb;AUS-WA;IndPac;;;Indian Pacific;auswa.indpac;
ausjb;AUS-SA;IndPac;;;Indian Pacific;aussa.indpac;
ausjb;AUS-NSW;IndPac;;;Indian Pacific;ausnsw.indpac;
ausjb;AUS-SA;Ghan;;;The Ghan;aussa.ghan;
ausjb;AUS-NT;Ghan;;;The Ghan;ausnt.ghan;
ausjb;AUS-SA;Ovlnd;;;The Overland;aussa.ovlnd;
ausjb;AUS-VIC;Ovlnd;;;The Overland;ausvic.ovlnd;
ausjb;AUS-SA;GtSrn;;;Great Southern;aussa.gtsrn;
ausjb;AUS-VIC;GtSrn;;;Great Southern;ausvic.gtsrn;
ausjb;AUS-NSW;GtSrn;;;Great Southern;ausnsw.gtsrn;
ausjb;AUS-QLD;GtSrn;;;Great Southern;ausqld.gtsrn;
