systemName;region;route;banner;abbrev;city;root;altRouteNames
frapm;FRA-IDF;M1;;;;fraidf.m01;
frapm;FRA-IDF;M2;;;;fraidf.m02;
frapm;FRA-IDF;M3;;;;fraidf.m03;
frapm;FRA-IDF;M3;Bis;;;fraidf.m03bis;
frapm;FRA-IDF;M4;;;;fraidf.m04;
frapm;FRA-IDF;M5;;;;fraidf.m05;
frapm;FRA-IDF;M6;;;;fraidf.m06;
frapm;FRA-IDF;M7;;;;fraidf.m07;
frapm;FRA-IDF;M7;;Vil;Villejuif;fraidf.m07vil;
frapm;FRA-IDF;M7;Bis;;;fraidf.m07bis;
frapm;FRA-IDF;M8;;;;fraidf.m08;
frapm;FRA-IDF;M9;;;;fraidf.m09;
frapm;FRA-IDF;M10;;;;fraidf.m10;
frapm;FRA-IDF;M10;;Aut;Auteuil;fraidf.m10aut;
frapm;FRA-IDF;M11;;;;fraidf.m11;
frapm;FRA-IDF;M12;;;;fraidf.m12;
frapm;FRA-IDF;M13;;;;fraidf.m13;
frapm;FRA-IDF;M13;;StO;Saint Ouen;fraidf.m13sto;
frapm;FRA-IDF;M14;;;;fraidf.m14;
