systemName;region;route;banner;abbrev;city;root;altRouteNames
belbt;BEL;BT3;;;;bel.bt03;
belbt;BEL;BT4;;;;bel.bt04;
belbt;BEL;BT7;;;;bel.bt07;
belbt;BEL;BT8;;;;bel.bt08;
belbt;BEL;BT9;;;;bel.bt09;
belbt;BEL;BT19;;;;bel.bt19;
belbt;BEL;BT25;;;;bel.bt25;
belbt;BEL;BT39;;;;bel.bt39;
belbt;BEL;BT44;;;;bel.bt44;
belbt;BEL;BT51;;;;bel.bt51;
belbt;BEL;BT55;;;;bel.bt55;
belbt;BEL;BT62;;;;bel.bt62;
belbt;BEL;BT81;;;;bel.bt81;
belbt;BEL;BT82;;;;bel.bt82;
belbt;BEL;BT92;;;;bel.bt92;
belbt;BEL;BT93;;;;bel.bt93;
belbt;BEL;BT97;;;;bel.bt97;
