systemName;route;banner;groupName;roots
czeduk;U1;;;cze.u01
czeduk;U2;;;cze.u02
czeduk;U3;;;cze.u03
czeduk;U4;;;cze.u04
czeduk;U5;;;cze.u05
czeduk;U6;;;cze.u06
czeduk;U7;;;cze.u07
czeduk;U8;;;cze.u08
czeduk;U9;;;cze.u09
czeduk;U10;;;cze.u10
czeduk;U11;;;cze.u11
czeduk;U12;;;cze.u12
czeduk;U13;;;cze.u13
czeduk;U14;;;cze.u14
czeduk;U15;;;cze.u15
czeduk;U16;;;cze.u16
czeduk;U21;;;cze.u21
czeduk;U22;;;cze.u22
czeduk;U28;;;cze.u28,deusn.u28,cze.u28dec
czeduk;U32;;;cze.u32
czeduk;U40;;;cze.u40
czeduk;U51;;;cze.u51
czeduk;U54;;;cze.u54
czeduk;U57;;;cze.u57
czeduk;T1;;;cze.t01
czeduk;T2;;;cze.t02
czeduk;T3;;;cze.t03
czeduk;T4;;;cze.t04
czeduk;T5;;;cze.t05
czeduk;T6;;;cze.t06
czeduk;T6;;Kadane;cze.t06kad
czeduk;T7;;;deusn.t07,cze.t07
czeduk;T8;;;cze.t08
czeduk;T9;;;cze.t09,deusn.t09
czeduk;T10;;;cze.t10
czeduk;T11;;;cze.t11

