systemName;route;banner;groupName;roots
czeep;S1;;;cze.s01
czeep;S2;;;cze.s02
czeep;S3;;;cze.s03
czeep;S3;;Mlada;cze.s03mla
czeep;S4;;;cze.s04
czeep;S5;;;cze.s05
czeep;S6;;;cze.s06
czeep;S7;;;cze.s07
czeep;S8;;;cze.s08
czeep;S9;;;cze.s09
czeep;S10;;;cze.s10
czeep;S11;;;cze.s11
czeep;S12;;;cze.s12
czeep;S18;;;cze.s18
czeep;S20;;;cze.s20
czeep;S21;;;cze.s21
czeep;S22;;;cze.s22
czeep;S23;;;cze.s23
czeep;S24;;;cze.s24
czeep;S25;;;cze.s25
czeep;S27;;;cze.s27
czeep;S28;;;cze.s28
czeep;S30;;;cze.s30
czeep;S31;;;cze.s31
czeep;S32;;;cze.s32
czeep;S33;;;cze.s33
czeep;S34;;;cze.s34
czeep;S35;;;cze.s35
czeep;S36;;;cze.s36
czeep;S40;;;cze.s40
czeep;S42;;;cze.s42
czeep;S43;;;cze.s43
czeep;S44;;;cze.s44
czeep;S45;;;cze.s45
czeep;S46;;;cze.s46
czeep;S49;;;cze.s49
czeep;S50;;;cze.s50
czeep;S53;;;cze.s53
czeep;S54;;;cze.s54
czeep;S57;;;cze.s57
czeep;S60;;;cze.s60
czeep;S61;;;cze.s61
czeep;S65;;;cze.s65
czeep;S66;;;cze.s66
czeep;S67;;;cze.s67
czeep;S70;;;cze.s70
czeep;S75;;;cze.s75
czeep;S76;;;cze.s76
czeep;S80;;;cze.s80
czeep;S82;;;cze.s82
czeep;S88;;;cze.s88
czeep;S90;;;cze.s90
czeep;S98;;;cze.s98
czeep;S99;;;cze.s99
