systemName;region;route;banner;abbrev;city;root;altRouteNames
czeiredo;CZE;V2;;;;cze.v02;
czeiredo;CZE;V3;;;;cze.v03;
czeiredo;CZE;V4;;;;cze.v04;
czeiredo;CZE;V5;;;;cze.v05;
czeiredo;CZE;V6;;;;cze.v06;
czeiredo;CZE;V10;;;;cze.v10;
czeiredo;CZE;V20;;;;cze.v20;
czeiredo;CZE;V21;;;;cze.v21;
czeiredo;CZE;V22;;;;cze.v22;
czeiredo;CZE;V23;;;;cze.v23;
czeiredo;CZE;V24;;;;cze.v24;
czeiredo;CZE;V25;;;;cze.v25;
czeiredo;CZE;V30;;;;cze.v30;
czeiredo;CZE;V31;;;;cze.v31;
czeiredo;CZE;V32;;;;cze.v32;
czeiredo;CZE;V33;;;;cze.v33;
czeiredo;CZE;V34;;;;cze.v34;
czeiredo;CZE;V40;;;;cze.v40;
czeiredo;CZE;V41;;;;cze.v41;
czeiredo;CZE;V42;;;;cze.v42;
czeiredo;CZE;V43;;;;cze.v43;
czeiredo;CZE;V44;;;;cze.v44;
czeiredo;CZE;V50;;;;cze.v50;
czeiredo;CZE;V51;;;;cze.v51;
