systemName;region;route;banner;abbrev;city;root;altRouteNames
czetos;CZE;1;;Ost;;cze.01ost;
czetos;CZE;2;;Ost;;cze.02ost;
czetos;CZE;3;;Ost;;cze.03ost;
czetos;CZE;X3;;Ost;;cze.x3ost;
czetos;CZE;4;;Ost;;cze.04ost;
czetos;CZE;5;;Ost;;cze.05ost;
czetos;CZE;6;;Ost;;cze.06ost;
czetos;CZE;7;;Ost;;cze.07ost;
czetos;CZE;8;;Ost;;cze.08ost;
czetos;CZE;9;;Ost;;cze.09ost;
czetos;CZE;10;;Ost;;cze.10ost;
czetos;CZE;11;;Ost;;cze.11ost;
czetos;CZE;12;;Ost;;cze.12ost;
czetos;CZE;13;;Ost;;cze.13ost;
czetos;CZE;14;;Ost;;cze.14ost;
czetos;CZE;15;;Ost;;cze.15ost;
czetos;CZE;16;;Ost;;cze.16ost;
czetos;CZE;17;;Ost;;cze.17ost;
czetos;CZE;18;;Ost;;cze.18ost;
czetos;CZE;19;;Ost;;cze.19ost;
