systemName;route;banner;groupName;roots
czevmjk;S2;;;cze.s02jih
czevmjk;S3;;;cze.s03jih
czevmjk;S3;;Zidlochovice;cze.s03zid
czevmjk;S4;;;cze.s04jih
czevmjk;S5;;;cze.s05jih
czevmjk;S6;;;cze.s06jih
czevmjk;S8;;;cze.s08jih
czevmjk;S9;;;cze.s09jih
czevmjk;S21;;;cze.s21jih
czevmjk;S22;;;cze.s22jih
czevmjk;S31;;;cze.s31jih
czevmjk;S41;;;cze.s41jih
czevmjk;S41;;Ivancice;cze.s41iva
czevmjk;S51;;;cze.s51jih
czevmjk;S52;;;cze.s52jih
czevmjk;S53;;;cze.s53jih
czevmjk;S61;;;cze.s61jih
czevmjk;S71;;;cze.s71jih
czevmjk;S81;;;cze.s81jih
czevmjk;S82;;;cze.s82jih,aut.s82jih
czevmjk;S91;;;cze.s91jih,svk.s91jih
