systemName;region;route;banner;abbrev;city;root;altRouteNames
deu??s;DEU-BB;S1;;;;deubb.s01;
deu??s;DEU-BE;S1;;;;deube.s01;
deu??s;DEU-BB;S2;;;Bernau;deubb.s02;
deu??s;DEU-BE;S2;;;;deube.s02;
deu??s;DEU-BB;S2;;Bla;Blankenfelde;deubb.s02bla;
deu??s;DEU-BE;S3;;;;deube.s03;
deu??s;DEU-BB;S3;;;;deubb.s03;
deu??s;DEU-BE;S5;;;;deube.s05;
deu??s;DEU-BB;S5;;;;deubb.s05;
deu??s;DEU-BB;S7;;;;deubb.s07;
deu??s;DEU-BE;S7;;;;deube.s07;
deu??s;DEU-BB;S8;;;Birkenwerder;deubb.s08;
deu??s;DEU-BE;S8;;;;deube.s08;
deu??s;DEU-BB;S8;;Zeu;Zeuthen;deubb.s08zeu;
deu??s;DEU-BE;S9;;;;deube.s09;
deu??s;DEU-BB;S25;;;Hennigsdorf;deubb.s25;
deu??s;DEU-BE;S25;;;;deube.s25;
deu??s;DEU-BB;S25;;Tet;Tetlow;deubb.s25tet;
deu??s;DEU-BE;S26;;;;deube.s26;
deu??s;DEU-BB;S26;;;;deubb.s26;
deu??s;DEU-BE;S41;;;;deube.s41;
deu??s;DEU-BE;S42;;;;deube.s42;
deu??s;DEU-BE;S45;;;;deube.s45;
deu??s;DEU-BE;S46;;;;deube.s46;
deu??s;DEU-BB;S46;;;;deubb.s46;
deu??s;DEU-BE;S47;;;;deube.s47;
deu??s;DEU-BE;S75;;;;deube.s75;
deu??s;DEU-BE;S85;;;;deube.s85;
