systemName;region;route;banner;abbrev;city;root;altRouteNames
deurru;DEU-NW;U11;;;;deunw.u11;
deurru;DEU-NW;U17;;;;deunw.u17;
deurru;DEU-NW;U18;;;;deunw.u18;
deurru;DEU-NW;U35;;;;deunw.u35;
deurru;DEU-NW;U41;;;;deunw.u41;
deurru;DEU-NW;U42;;;;deunw.u42;
deurru;DEU-NW;U43;;;;deunw.u43;
deurru;DEU-NW;U44;;;;deunw.u44;
deurru;DEU-NW;U45;;;;deunw.u45;
deurru;DEU-NW;U46;;;;deunw.u46;
deurru;DEU-NW;U47;;;;deunw.u47;
deurru;DEU-NW;U49;;;;deunw.u49;
deurru;DEU-NW;U70;;;;deunw.u70;
deurru;DEU-NW;U71;;;;deunw.u71;
deurru;DEU-NW;U72;;;;deunw.u72;
deurru;DEU-NW;U73;;;;deunw.u73;
deurru;DEU-NW;U74;;;;deunw.u74;
deurru;DEU-NW;U75;;;;deunw.u75;
deurru;DEU-NW;U76;;;;deunw.u76;
deurru;DEU-NW;U77;;;;deunw.u77;
deurru;DEU-NW;U78;;;;deunw.u78;
deurru;DEU-NW;U79;;;;deunw.u79;
deurru;DEU-NW;U83;;;;deunw.u83;
