systemName;route;banner;groupName;roots
deurssb;01;;;deunw.01kol
deurssb;03;;;deunw.03kol
deurssb;04;;;deunw.04kol
deurssb;05;;;deunw.05kol
deurssb;07;;;deunw.07kol
deurssb;09;;;deunw.09kol
deurssb;12;;;deunw.12kol
deurssb;13;;;deunw.13kol
deurssb;15;;;deunw.15kol
deurssb;15;;Longerich branch;deunw.15lon
deurssb;16;;;deunw.16rhe
deurssb;17;;;deunw.17rhe
deurssb;18;;;deunw.18rhe
deurssb;61;;;deunw.61bon
deurssb;62;;;deunw.62bon
deurssb;63;;;deunw.63bon
deurssb;65;;;deunw.65bon
deurssb;66;;;deunw.66bon
deurssb;67;;;deunw.67bon
deurssb;68;;;deunw.68bon
