systemName;region;route;banner;abbrev;city;root;altRouteNames
deusu;DEU-BW;U1;;;;deubw.u01;
deusu;DEU-BW;U2;;;;deubw.u02;
deusu;DEU-BW;U3;;;;deubw.u03;
deusu;DEU-BW;U4;;;;deubw.u04;
deusu;DEU-BW;U5;;;;deubw.u05;
deusu;DEU-BW;U6;;;;deubw.u06;
deusu;DEU-BW;U7;;;;deubw.u07;
deusu;DEU-BW;U8;;;;deubw.u08;
deusu;DEU-BW;U9;;;;deubw.u09;
deusu;DEU-BW;U11;;;;deubw.u11;
deusu;DEU-BW;U12;;;;deubw.u12;
deusu;DEU-BW;U13;;;;deubw.u13;
deusu;DEU-BW;U14;;;;deubw.u14;
deusu;DEU-BW;U15;;;;deubw.u15;
deusu;DEU-BW;U16;;;;deubw.u16;
deusu;DEU-BW;U19;;;;deubw.u19;
deusu;DEU-BW;U21;;;;deubw.u21;
deusu;DEU-BW;U25;;;;deubw.u25;
deusu;DEU-BW;U29;;;;deubw.u29;
deusu;DEU-BW;U34;;;;deubw.u34;
