systemName;region;route;banner;abbrev;city;root;altRouteNames
frapm;FRA-IDF;1;;;;fraidf.1;
frapm;FRA-IDF;2;;;;fraidf.2;
frapm;FRA-IDF;3;;;;fraidf.3;
frapm;FRA-IDF;3;Bis;;;fraidf.3bis;
frapm;FRA-IDF;4;;;;fraidf.4;
frapm;FRA-IDF;5;;;;fraidf.5;
frapm;FRA-IDF;6;;;;fraidf.6;
frapm;FRA-IDF;7;;;;fraidf.7;
frapm;FRA-IDF;7;;Vil;Villejuif branch;fraidf.7vil;
frapm;FRA-IDF;7;Bis;;;fraidf.7bis;
frapm;FRA-IDF;8;;;;fraidf.8;
frapm;FRA-IDF;9;;;;fraidf.9;
frapm;FRA-IDF;10;;;;fraidf.10;
frapm;FRA-IDF;10;;Aut;Auteuil loop;fraidf.10aut;
frapm;FRA-IDF;11;;;;fraidf.11;
frapm;FRA-IDF;12;;;;fraidf.12;
frapm;FRA-IDF;13;;;;fraidf.13;
frapm;FRA-IDF;13;;StO;Saint Ouen branch;fraidf.13sto;
frapm;FRA-IDF;14;;;;fraidf.14;
