systemName;region;route;banner;abbrev;city;root;altRouteNames
fratra;FRA-IDF;H;;Bea;Gare du Nord - Ermont - Persan-Beaumont;fraidf.hbea;
fratra;FRA-IDF;H;;Luz;Gare du Nord - Luzarches;fraidf.hluz;
fratra;FRA-IDF;H;;Per;Gare du Nord - Domont - Persan-Beaumont;fraidf.hper;
fratra;FRA-IDF;H;;Pon;Gare du Nord - Pontoise;fraidf.hpon;
fratra;FRA-IDF;H;;Cre;Pontoise - Creil;fraidf.hcre;
fratra;FRA-HDF;H;;Cre;Pontoise - Creil;frahdf.hcre;
fratra;FRA-IDF;J;;Erm;Gare Saint-Lazare - Ermont;fraidf.jerm;
fratra;FRA-IDF;J;;Gis;Gare Saint-Lazare - Gisors;fraidf.jgis;
fratra;FRA-HDF;J;;Gis;Gare Saint-Lazare - Gisors;frahdf.jgis;
fratra;FRA-NOR;J;;Gis;Gare Saint-Lazare - Gisors;franor.jgis;
fratra;FRA-IDF;J;;Man;Gare Saint-Lazare - Mantes-le-Jolie;fraidf.jman;
fratra;FRA-IDF;J;;Ver;Gare Saint-Lazare - Vernon;fraidf.jver;
fratra;FRA-NOR;J;;Ver;Gare Saint-Lazare - Vernon;franor.jver;
fratra;FRA-IDF;K;;;Gare du Nord - Crepy-Valois;fraidf.k;
fratra;FRA-HDF;K;;;Gare du Nord - Crepy-Valois;frahdf.k;
fratra;FRA-IDF;L;;Cer;Gare Saint-Lazare - Cergy;fraidf.lcer;
fratra;FRA-IDF;L;;SNB;Gare Saint-Lazare - Saint Nom Breteche;fraidf.lsnb;
fratra;FRA-IDF;L;;Ver;Gare Saint-Lazare - Versaille;fraidf.lver;
fratra;FRA-IDF;N;;Dre;Gare Montparnasse - Dreux;fraidf.ndre;
fratra;FRA-CVL;N;;Dre;Gare Montparnasse - Dreux;fracvl.ndre;
fratra;FRA-IDF;N;;Man;Gare Montparnasse - Mantes-le-Jolie;fraidf.nman;
fratra;FRA-IDF;N;;Ram;Gare Montparnasse - Rambouillet;fraidf.nram;
fratra;FRA-IDF;P;;Cha;Gare d'Est - Chateau Thierry;fraidf.pcha;
fratra;FRA-HDF;P;;Cha;Gare d'Est - Chateau Thierry;frahdf.pcha;
fratra;FRA-IDF;P;;Cou;Gare d'Est - Coulommiers;fraidf.pcou;
fratra;FRA-IDF;P;;Fer;Gare d'Est - Ferte Milon;fraidf.pfer;
fratra;FRA-HDF;P;;Fer;Gare d'Est - Ferte Milon;frahdf.pfer;
fratra;FRA-IDF;P;;Pro;Gare d'Est - Provins;fraidf.ppro;
fratra;FRA-IDF;P;;Cre;Esbly - Crechy-Chapelle;fraidf.pcre;
fratra;FRA-IDF;R;;Mte;Gare du Lyon - Montereau;fraidf.rmte;
fratra;FRA-IDF;R;;Mtg;Gare du Lyon - Montargis;fraidf.rmtg;
fratra;FRA-CVL;R;;Mtg;Gare du Lyon - Montargis;fracvl.rmtg;
fratra;FRA-IDF;R;;Mam;Moret - Montereau;fraidf.rmam;
fratra;FRA-IDF;U;;;La Defense - Verriere;fraidf.u;
