systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnga;ENG;GEML;;;Great Eastern Mainline;eng.geml;
gbnga;ENG;WAML;;;West Anglia Mainline;eng.waml;
gbnga;ENG;StaEx;;;Stansted Express;eng.staex;
gbnga;ENG;SheSouLn;;;Shenfield - Southend Line;eng.shesouln;
gbnga;ENG;CroVlyLn;;;Crouch Valley Line;eng.crovlyln;
gbnga;ENG;BraBra;;;Braintree Branch;eng.brabra;
gbnga;ENG;GaiLn;;;Gainsborough Line;eng.gailn;
gbnga;ENG;SunCoaLn;;Cla;Sunshine Coast Line (Clacton-on-Sea);eng.suncoulncla;
gbnga;ENG;SunCoaLn;;Wal;Sunshine Coast Line (Walton-on-the-Naze);eng.suncoulnwal;
gbnga;ENG;MayLn;;;Mayflower Line;eng.mayln;
gbnga;ENG;LVL;;Str;Lea Valley Line (Stratford);eng.lvlstr;
gbnga;ENG;FelBra;;;Felixstow Branch;eng.felbra;
gbnga;ENG;ESufLn;;;East Suffolk Line;eng.esufln;
gbnga;ENG;IpsCamLn;;;Ipswich - Cambridge Line;eng.ipscamln;
gbnga;ENG;BreLn;;;Breckland Line;eng.breln;
gbnga;ENG;HerLn;;;Hereward Line;eng.herln;
gbnga;ENG;WheLn;;Low;Wherry Lines (Lowestoft);eng.whelnlow;
gbnga;ENG;WheLn;;Yar;Wherry Lines (Great Yarmouth);eng.whelnyar;
gbnga;ENG;BitLn;;;Bittern Line;eng.bitln;
