systemName;region;route;banner;abbrev;city;root;altRouteNames
gbngw;ENG;GWML;;Ply;Great Western Mainline (via Plymouth);eng.gwmlply;
gbngw;ENG;GWML;;Bri;Great Western Mainline (via Bristol Temple Meads);eng.gwmlbri;
gbngw;ENG;GWML;;Bst;Great Western Mainline (via Bristol Parkway);eng.gwmlbst;
gbngw;WLS;GWML;;;Great Western Mainline;wls.gwml;
gbngw;ENG;HEx;;;Heathrow Express;eng.hex;
gbngw;ENG;NCotLn;;;North Cotswolds Line;eng.ncotln;
gbngw;ENG;SCotLn;;;South Cotswolds Line;eng.scotln;
gbngw;ENG;OxCanLn;;;Oxford Canal Line;eng.oxcanln;
gbngw;ENG;BerHanLn;;;Berks and Hants Line;eng.berhanln;
gbngw;ENG;WesML;;;Wessex Mainline;eng.wesml;
gbngw;ENG;HoWLn;;;Heart of Wessex Line;eng.howln;
gbngw;ENG;GreBra;;;Greenford Branch;eng.grebra;
gbngw;ENG;WinBra;;;Windsor Branch;eng.wimbra;
gbngw;ENG;MarBra;;;Marlow Branch;eng.marbra;
gbngw;ENG;RegLn;;;Regatta Line;eng.regln;
gbngw;ENG;NorDowLn;;;North Downs Line;eng.nordowln;
gbngw;ENG;ReaBasLn;;;Reading - Basingstoke Line;eng.reabasln;
gbngw;ENG;TraWilLn;;;Trans-Wilts Line;eng.trawilln;
gbngw;ENG;SevBeaLn;;;Severn Beach Line;eng.sevbealn;
gbngw;ENG;AvoLn;;;Avocet Line;eng.avoln;
gbngw;ENG;TarLn;;;Tarka Line;eng.tarln;
gbngw;ENG;DarLn;;;Dartmoor Line;eng.darln;
gbngw;ENG;RivLn;;;Riveria Line;eng.rivln;
gbngw;ENG;TamVlyLn;;;Tamar Valley Line;eng.tamvlyln;
gbngw;ENG;LooVlyLn;;;Looe Valley Line;eng.loovlyln;
gbngw;ENG;AtlCoaLn;;;Atlantic Coast Line;eng.atlln;
gbngw;ENG;MarLn;;;Maritime Line;eng.marln;
gbngw;ENG;SIBLn;;;St Ives Bay Line;eng.sibln;
