systemName;route;banner;groupName;roots
gbngw;GWML;;Great Western Mainline (via Plymouth);eng.gwmlply
gbngw;GWML;;Great Western Mainline (via Bristol Temple Meads);eng.gwmlbri
gbngw;GWML;;Great Western Mainline (via Bristol Parkway);eng.gwmlbst,wls.gwml
gbngw;HEx;;Heathrow Express;eng.hex
gbngw;NCotLn;;North Cotswolds Line;eng.ncotln
gbngw;SCotLn;;South Cotswolds Line;eng.scotln
gbngw;OxCanLn;;Oxford Canal Line;eng.oxcanln
gbngw;BerHanLn;;Berks and Hants Line;eng.berhanln
gbngw;WesML;;Wessex Mainline;eng.wesml
gbngw;HoWLn;;Heart of Wessex Line;eng.howln
gbngw;GreBra;;Greenford Branch;eng.grebra
gbngw;WinBra;;Windsor Branch;eng.wimbra
gbngw;MarBra;;Marlow Branch;eng.marbra
gbngw;RegLn;;Regatta Line;eng.regln
gbngw;NorDowLn;;North Downs Line;eng.nordowln
gbngw;ReaBasLn;;Reading - Basingstoke Line;eng.reabasln
gbngw;TraWilLn;;Trans-Wilts Line;eng.trawilln
gbngw;SevBeaLn;;Severn Beach Line;eng.sevbealn
gbngw;AvoLn;;Avocet Line;eng.avoln
gbngw;TarLn;;Tarka Line;eng.tarln
gbngw;DarLn;;Dartmoor Line;eng.darln
gbngw;RivLn;;Riveria Line;eng.rivln
gbngw;TamVlyLn;;Tamar Valley Line;eng.tamvlyln
gbngw;LooVlyLn;;Looe Valley Line;eng.loovlyln
gbngw;AtlCoaLn;;Atlantic Coast Line;eng.atlln
gbngw;MarLn;;Maritime Line;eng.marln
gbngw;SIBLn;;St Ives Bay Line;eng.sibln
