systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnnt;ENG;AdlLn;;;Airedale Line;eng.adlln;
gbnnt;ENG;AirLn;;;Airport Line;eng.airln;
gbnnt;ENG;AthLn;;;Atherton Line;eng.athln;
gbnnt;ENG;BenLn;;;Bentham Line;eng.benln;
gbnnt;ENG;BlaLn;;;Blackpool Line;eng.blaln;
gbnnt;ENG;BraHudLn;;;Bradford - Huddersfield Line;eng.brahudln;
gbnnt;ENG;BuxLn;;;Buxton Line;eng.buxln;
gbnnt;ENG;CalLn;;;Calderdale Line;eng.calln;
gbnnt;ENG;CalVlyLn;;;Calder Valley Line;eng.calvlyln;
gbnnt;ENG;CasHudLn;;;Castleford - Huddersfield Line;eng.cashudln;
gbnnt;ENG;ChatMossLn;;;Chat Moss Line;eng.chatmossln;
gbnnt;ENG;CityLn;;War;City Line (Warrington);eng.citylnwar;
gbnnt;ENG;CityLn;;Wig;City Line (Wigan);eng.citylnwig;
gbnnt;ENG;CLCLn;;;Cheshire Lines Committee Line;eng.clcln;
gbnnt;ENG;CumCoaLn;;;Cumbria Coast Line;eng.cumcoaln;
gbnnt;ENG;DeaVlyLn;;;Dearne Valley Line;eng.deavlyln;
gbnnt;ENG;DurCoaLn;;;Durham Coast Line;eng.durcoaln;
gbnnt;ENG;ECML;;Nor;East Coast Mainline (Northumberland);eng.ecmlnor;
gbnnt;ENG;ELanLn;;;East Lancashire Line;eng.elanln;
gbnnt;ENG;EreVlyLn;;;Erewash Valley Line;eng.erevlyln;
gbnnt;ENG;EskVlyLn;;;Esk Valley Line;eng.eskvlyln;
gbnnt;ENG;GaiBra;;;Gainsborough Branch;eng.gaibra;
gbnnt;ENG;GloLn;;;Glossop Line;eng.gloln;
gbnnt;ENG;HalLn;;;Hallam Line;eng.halln;
gbnnt;ENG;HarLn;;;Harrogate Line;eng.harln;
gbnnt;ENG;HopeVlyLn;;;Hope Valley Line;eng.hopevlyln;
gbnnt;ENG;LakLn;;;Lakes Line;eng.lakln;
gbnnt;ENG;LeeSelLn;;;Leeds - Selby Line;eng.leeselln;
gbnnt;ENG;LeeYorkLn;;;Leeds - York Line;eng.leeyorkln;
gbnnt;ENG;MidCheLn;;;Mid-Cheshire Line;eng.midcheln;
gbnnt;ENG;MplLn;;;Marple Line;eng.mplln;
gbnnt;ENG;PenLn;;;Penistone Line;eng.penln;
gbnnt;ENG;PonLn;;Cas;Pontefract Line (Castleford);eng.ponlncas;
gbnnt;ENG;PonLn;;Wak;Pontefract Line (Wakefield);eng.ponlnwak;
gbnnt;ENG;RibEstLn;;;Ribble Estuary Line;eng.ribestln;
gbnnt;ENG;RibVlyLn;;;Ribble Valley Line;eng.ribvlyln;
gbnnt;ENG;RosLn;;;Roses Line;eng.rosln;
gbnnt;ENG;SaCLn;;;Settle & Carlisle Line;eng.sacln;
gbnnt;ENG;SheHullLn;;;Sheffield - Hull Line;eng.shehullln;
gbnnt;ENG;SHumLn;;;South Humberside Line;eng.shumln;
gbnnt;ENG;SouLn;;;Southport Line;eng.souln;
gbnnt;ENG;StoLn;;;Stoke Line;eng.stoln;
gbnnt;ENG;StoStaLn;;;Stockport - Stalybridge Line;eng.stostayln;
gbnnt;ENG;TeesVlyLn;;;Tees Valley Line;eng.teesvlyln;
gbnnt;ENG;TyneVlyLn;;;Tyne Valley Line;eng.tynevlyln;
gbnnt;ENG;WakLn;;Don;Wakfield Line (Doncaster);eng.waklndon;
gbnnt;ENG;WakLn;;She;Wakfield Line (Sheffield);eng.waklnshe;
gbnnt;ENG;WhaLn;;Bra;Wharfedale Line (Bradford);eng.whalnbra;
gbnnt;ENG;WhaLn;;Lee;Wharfedale Line (Leeds);eng.whalnlee;
gbnnt;ENG;YorCoaLn;;;Yorkshire Coast Line;eng.yorcoaln;
gbnnt;ENG;YorkHullLn;;;York - Hull Line;eng.yorkhullln;
gbnnt;ENG;YorkSelLn;;;York - Selby Line;eng.yorkselln;
