systemName;route;banner;groupName;roots
gbnse;KCJ;;Kent Coast Javelins;eng.kcj
gbnse;SEML;;South East Mainline (Hastings);eng.semlhas
gbnse;SEML;;South East Mainline (Margate);eng.semlmar
gbnse;CML;;Chatham Mainline;eng.cml
gbnse;MaiLn;;Maidstone Line;eng.mailn
gbnse;MedVlyLn;;Medway Valley Line;eng.medvlyln
gbnse;SheLn;;Sherness Line;eng.sheln
gbnse;BexLn;;Bexleyheath Line;eng.bexln
gbnse;OrpLn;;Orpington Line;eng.orpln
gbnse;SidLn;;Sidcup Line;eng.sidln
gbnse;NKentLn;;North Kent Line;eng.nkentln
gbnse;HayLn;Hayes Line (Charing Cross);eng.haylncha
gbnse;HayLn;Hayes Line (Cannon Street);eng.haylncan
gbnse;GreLn;;Greenwich Line;eng.greln
gbnse;SidLp;;Sidcup Loop;eng.sidlp
gbnse;BroNBra;;Bromley North Branch;eng.bronbra

