System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
gbrlu;GBR;Bak;;;Bakerloo Line;gbr.bak;
gbrlu;GBR;Cen;;EBW;Central Line (Ealing Broadway - Hainault - Woodford);gbr.ebw;
gbrlu;GBR;Cen;;WRE;Central Line (West Ruislip - Epping);gbr.wre;
gbrlu;GBR;Cir;;;Circle Line;gbr.cir;
gbrlu;GBR;Dis;;EBU;District Line (Ealing Broadway - Upminster);gbr.disebu;
gbrlu;GBR;Dis;;Oly;District Line (Olympia Shuttle);gbr.disoly;
gbrlu;GBR;Dis;;RUp;District Line (Richmond - Upminster);gbr.disrup;
gbrlu;GBR;Dis;;WER;District Line (Wimbledon - Edgware Road);gbr.diswer;
gbrlu;GBR;Dis;;WUp;District Line (Wimbledon - Upminster);gbr.diswup;
gbrlu;GBR;H&C;;;Hammersmith & City Line;gbr.hamcity;
gbrlu;GBR;Jub;;;Jubilee Line;gbr.metjub;
gbrlu;GBR;Met;;Ame;Metropolitan Line (Amersham semi-fast);gbr.metame;
gbrlu;GBR;Met;;Che;Metropolitan Line (Chesham fast);gbr.metche;
gbrlu;GBR;Met;;Uxb;Metropolitan Line (Uxbridge all-stations);gbr.metuxb;
gbrlu;GBR;Met;;Wat;Metropolitan Line (Watford all-stations);gbr.metwat;
gbrlu;GBR;Nor;;EdK;Northern Line (Edgware - Charing Cross - Kennington);gbr.noredk;
gbrlu;GBR;Nor;;EdM;Northern Line (Edgware - Bank - Morden);gbr.noredm;
gbrlu;GBR;Nor;;HBM;Northern Line (High Barnet - Bank - Morden);gbr.norhbm;
gbrlu;GBR;Nor;;MHK;Northern Line (Mill Hill East - Charing Cross - Kennington);gbr.normhk;
gbrlu;GBR;Pic;;HT4;Piccadilly Line (Heathrow Terminal 4);gbr.picht4;
gbrlu;GBR;Pic;;HT5;Piccadilly Line (Heathrow Terminal 5);gbr.picht5;
gbrlu;GBR;Pic;;Uxb;Piccadilly Line (Uxbridge);gbr.picuxb;
gbrlu;GBR;Vic;;;Victoria Line;gbr.vic;
gbrlu;GBR;W&C;;;Waterloo & City Line;gbr.watcity;
