systemName;region;route;banner;abbrev;city;root;altRouteNames
irliei;IRL;CorkInt;;;Cork Intercity;irl.corkint;
irliei;IRL;TraBra;;;Tralee Branch;irl.trabra;
irliei;IRL;LimInt;;;Limerick Intercity;irl.limint;
irliei;IRL;NenLp;;;Nenagh Loop;irl.nenlp;
irliei;IRL;WesCor;;;Western Corridor;irl.wescor;
irliei;IRL;GalInt;;;Galway Intercity;irl.galint;
irliei;IRL;MayoInt;;;Mayo Intercity;irl.mayoint;
irliei;IRL;BalBra;;;Ballina Branch;irl.balbra;
irliei;IRL;SliInt;;;Sligo Intercity;irl.sliint;
irliei;IRL;MayoInt;;;Wexford Intercity;irl.wexint;
irliei;IRL;WatInt;;;Waterford Intercity;irl.watint;
irliei;IRL;CloBra;;;Clonmel Branch;irl.clobra;
