systemName;region;route;banner;abbrev;city;root;altRouteNames
polpt;POL;0;;Poz;;pol.00poz;
polpt;POL;1;;Poz;;pol.01poz;
polpt;POL;2;;Poz;;pol.02poz;
polpt;POL;3;;Poz;;pol.03poz;
polpt;POL;5;;Poz;;pol.05poz;
polpt;POL;6;;Poz;;pol.06poz;
polpt;POL;7;;Poz;;pol.07poz;
polpt;POL;8;;Poz;;pol.08poz;
polpt;POL;9;;Poz;;pol.09poz;
polpt;POL;10;;Poz;;pol.10poz;
polpt;POL;11;;Poz;;pol.11poz;
polpt;POL;12;;Poz;;pol.12poz;
polpt;POL;13;;Poz;;pol.13poz;
polpt;POL;14;;Poz;;pol.14poz;
polpt;POL;15;;Poz;;pol.15poz;
polpt;POL;16;;Poz;;pol.16poz;
polpt;POL;17;;Poz;;pol.17poz;
polpt;POL;18;;Poz;;pol.18poz;
polpt;POL;20;;Poz;;pol.20poz;
