systemName;region;route;banner;abbrev;city;root;altRouteNames
polwt;POL;1;;War;;pol.01war;
polwt;POL;2;;War;;pol.02war;
polwt;POL;3;;War;;pol.03war;
polwt;POL;4;;War;;pol.04war;
polwt;POL;6;;War;;pol.06war;
polwt;POL;7;;War;;pol.07war;
polwt;POL;9;;War;;pol.09war;
polwt;POL;11;;War;;pol.11war;
polwt;POL;13;;War;;pol.13war;
polwt;POL;15;;War;;pol.15war;
polwt;POL;17;;War;;pol.17war;
polwt;POL;20;;War;;pol.20war;
polwt;POL;22;;War;;pol.22war;
polwt;POL;23;;War;;pol.23war;
polwt;POL;24;;War;;pol.24war;
polwt;POL;25;;War;;pol.25war;
polwt;POL;26;;War;;pol.26war;
polwt;POL;27;;War;;pol.27war;
polwt;POL;28;;War;;pol.28war;
polwt;POL;31;;War;;pol.31war;
polwt;POL;33;;War;;pol.33war;
polwt;POL;35;;War;;pol.35war;
polwt;POL;75;;War;;pol.75war;
polwt;POL;78;;War;;pol.78war;


