systemName;route;banner;groupName;roots
usanjtr;AtlCityLn;;Atlantic City Line;pa.atlcityln,nj.atlcityln
usanjtr;BerCouLn;;Bergen County Line;nj.bercouln
usanjtr;GlaBra;;Gladstone Branch;nj.glabra
usanjtr;GlaBra;;Gladstone Branch (Midtown Express);nj.glabramid,ny.glabra
usanjtr;MainLn;;Main Line;nj.mainln
usanjtr;MeaSpr;;Meadowlands Spur;nj.measpr
usanjtr;MonBooLn;;Montclair-Boontown Line;nj.monbooln
usanjtr;MonBooLn;;Montclair-Boontown Line (Midtown Express);nj.monboolnmid,ny.monbooln
usanjtr;MorLn;;Morristown Line;nj.morln
usanjtr;MorLn;;Morristown Line (Midtown Express);nj.morlnmid,ny.morln
usanjtr;NECorLn;;Northeast Corridor Line;nj.necorln,ny.necorln
usanjtr;NJerCoaLn;;North Jersey Coast Line;nj.njercoaln,ny.njcoaln
usanjtr;NJerCoaLn;;North Jersey Coast Line (Hoboken branch);nj.njercoalnhob
usanjtr;PasVlyLn;;Pascack Valley Line;nj.pasvlyln,ny.pasvlyln
usanjtr;PriBra;;Princeton Branch;nj.pribra
usanjtr;RarVlyLn;;Raritan Valley Line;nj.rarvlyln
