systemName;region;route;banner;abbrev;city;root;altRouteNames
ausst;AUS-NSW;T1;;;North Shore & Western Line;ausnsw.t1;
ausst;AUS-NSW;T1;;Ric;Western Line (Richmond branch);ausnsw.t1ric;
ausst;AUS-NSW;T2;;;Inner West & Leppington Line;ausnsw.t2;
ausst;AUS-NSW;T2;;Par;Inner West Line (Parramatta branch);ausnsw.t2par;
ausst;AUS-NSW;T3;;;Liverpool & Inner West Line;ausnsw.t3;
ausst;AUS-NSW;T4;;;Eastern Suburbs & Illawarra Line;ausnsw.t4;
ausst;AUS-NSW;T4;;Wat;Illawarra Line (Waterfall branch);ausnsw.t4wat;
ausst;AUS-NSW;T5;;;Cumberland Line;ausnsw.t5;
ausst;AUS-NSW;T6;;;Lidcombe & Bankstown Line;ausnsw.t6;
ausst;AUS-NSW;T7;;;Olympic Park Line;ausnsw.t7;
ausst;AUS-NSW;T8;;;Airport & South Line;ausnsw.t8;
ausst;AUS-NSW;T8;;Syd;South Line (via Sydenham);ausnsw.t8syd;
ausst;AUS-NSW;T9;;;Northern Line;ausnsw.t9;
