systemName;route;banner;groupName;roots
ausst;T1;;North Shore & Western Line;ausnsw.t1
ausst;T1;;Western Line (Richmond branch);ausnsw.t1ric
ausst;T2;;Inner West & Leppington Line;ausnsw.t2
ausst;T2;;Inner West Line (Parramatta branch);ausnsw.t2par
ausst;T3;;Bankstown Line;ausnsw.t3
ausst;T3;;Bankstown Line (Lidcombe branch);ausnsw.t3lid
ausst;T4;;Eastern Suburbs & Illawarra Line;ausnsw.t4
ausst;T4;;Illawarra Line (Waterfall branch);ausnsw.t4wat
ausst;T5;;Cumberland Line;ausnsw.t5
ausst;T7;;Olympic Park Line;ausnsw.t7
ausst;T8;;Airport & South Line;ausnsw.t8
ausst;T8;;South Line (via Sydenham);ausnsw.t8syd
ausst;T9;;Northern Line;ausnsw.t9
