systemName;region;route;banner;abbrev;city;root;altRouteNames
ausyt;AUS-VIC;1;;Mel;Melbourne;ausvic.001mel;
ausyt;AUS-VIC;3;;Mel;Melbourne;ausvic.003mel;
ausyt;AUS-VIC;5;;Mel;Melbourne;ausvic.005mel;
ausyt;AUS-VIC;6;;Mel;Melbourne;ausvic.006mel;
ausyt;AUS-VIC;11;;Mel;Melbourne;ausvic.011mel;
ausyt;AUS-VIC;12;;Mel;Melbourne;ausvic.012mel;
ausyt;AUS-VIC;16;;Mel;Melbourne;ausvic.016mel;
ausyt;AUS-VIC;19;;Mel;Melbourne;ausvic.019mel;
ausyt;AUS-VIC;30;;Mel;Melbourne;ausvic.030mel;
ausyt;AUS-VIC;35;;Mel;Melbourne;ausvic.035mel;
ausyt;AUS-VIC;48;;Mel;Melbourne;ausvic.048mel;
ausyt;AUS-VIC;57;;Mel;Melbourne;ausvic.057mel;
ausyt;AUS-VIC;58;;Mel;Melbourne;ausvic.058mel;
ausyt;AUS-VIC;59;;Mel;Melbourne;ausvic.059mel;
ausyt;AUS-VIC;64;;Mel;Melbourne;ausvic.064mel;
ausyt;AUS-VIC;67;;Mel;Melbourne;ausvic.067mel;
ausyt;AUS-VIC;70;;Mel;Melbourne;ausvic.070mel;
ausyt;AUS-VIC;72;;Mel;Melbourne;ausvic.072mel;
ausyt;AUS-VIC;75;;Mel;Melbourne;ausvic.075mel;
ausyt;AUS-VIC;78;;Mel;Melbourne;ausvic.078mel;
ausyt;AUS-VIC;82;;Mel;Melbourne;ausvic.082mel;
ausyt;AUS-VIC;86;;Mel;Melbourne;ausvic.086mel;
ausyt;AUS-VIC;96;;Mel;Melbourne;ausvic.096mel;
ausyt;AUS-VIC;109;;Mel;Melbourne;ausvic.109mel;
