systemName;region;route;banner;abbrev;city;root;altRouteNames
autst;AUT;S1;;Tir;Tirol;aut.s01tir;
autst;ITA-TRE;S2;;Tir;Tirol;itatre.s02tir;
autst;AUT;S2;;Tir;Tirol;aut.s02tir;
autst;AUT;S3;;Tir;Brennerbahn, Tirol;aut.s03tir;
autst;ITA-TRE;S3;;Tir;Brennerbahn, Tirol;itatre.s03tir;
autst;AUT;S4;;Tir;Tirol;aut.s04tir;
autst;AUT;S5;;Tir;Tirol;aut.s05tir;
autst;DEU-BY;S6;;Tir;Mittenwaldbahn, Tirol;deuby.s06tir;
autst;AUT;S6;;Tir;Mittenwaldbahn, Tirol;aut.s06tir;
autst;DEU-BY;S7;;Pfr;Ausserfernbahn (Pfronten), Tirol;deuby.s07pfr;
autst;AUT;S7;;Tir;Ausserfernbahn, Tirol;aut.s07tir;
autst;DEU-BY;S7;;Tir;Ausserfernbahn (Garmisch Partenkirchen), Tirol;deuby.s07tir;
autst;AUT;S8;;Tir;Tirol;aut.s08tir;
autst;AUT;SZB1;;Tir;Zillertalbahn, Tirol;aut.szb1tir;
