systemName;route;banner;groupName;roots
belbt;3;;Bruxelles / Brussels;bel.03bru
belbt;4;;Bruxelles / Brussels;bel.04bru
belbt;7;;Bruxelles / Brussels;bel.07bru
belbt;8;;Bruxelles / Brussels;bel.08bru
belbt;9;;Bruxelles / Brussels;bel.09bru
belbt;18;;Bruxelles / Brussels;bel.18bru
belbt;19;;Bruxelles / Brussels;bel.19bru
belbt;25;;Bruxelles / Brussels;bel.25bru
belbt;39;;Bruxelles / Brussels;bel.39bru
belbt;44;;Bruxelles / Brussels;bel.44bru
belbt;51;;Bruxelles / Brussels;bel.51bru
belbt;55;;Bruxelles / Brussels;bel.55bru
belbt;62;;Bruxelles / Brussels;bel.62bru
belbt;81;;Bruxelles / Brussels;bel.81bru
belbt;82;;Bruxelles / Brussels;bel.82bru
belbt;92;;Bruxelles / Brussels;bel.92bru
belbt;93;;Bruxelles / Brussels;bel.93bru
belbt;97;;Bruxelles / Brussels;bel.97bru
