systemName;region;route;banner;abbrev;city;root;altRouteNames
belic;BEL;IC1;;;;bel.ic01;
belic;BEL;IC2;;;;bel.ic02;
belic;BEL;IC3;;;;bel.ic03;
belic;BEL;IC4;;;Poperinge portion;bel.ic04;
belic;BEL;IC4;;Lil;Lille portion;bel.ic04lil;
belic;FRA-HDF;IC4;;;Lille portion;frahdf.ic04;
belic;BEL;IC5;;;;bel.ic05;
belic;BEL;IC6;;;Tournai;bel.ic06;
belic;BEL;IC6;;Mon;Mons;bel.ic06mon;IC6A
belic;BEL;IC7;;;;bel.ic07;
belic;BEL;IC8;;;;bel.ic08;
belic;BEL;IC9;;;;bel.ic09;
belic;BEL;IC10;;;Hamont portion;bel.ic10;
belic;BEL;IC10;;Has;Hasselt portion;bel.ic10has;
belic;BEL;IC11;;;;bel.ic11;
belic;BEL;IC12;;;;bel.ic12;
belic;BEL;IC13;;;;bel.ic13;
belic;BEL;IC14;;;;bel.ic14;
belic;BEL;IC15;;;;bel.ic15;
belic;BEL;IC16;;;;bel.ic16;
belic;LUX;IC16;;;;lux.ic16;
belic;BEL;IC17;;;;bel.ic17;
belic;BEL;IC18;;;;bel.ic18;
belic;BEL;IC19;;;;bel.ic19;
belic;BEL;IC20;;;;bel.ic20;
belic;BEL;IC21;;;;bel.ic21;
belic;BEL;IC23;;;Oostende;bel.ic23;
belic;BEL;IC23;;Gen;Gent;bel.ic23gen;
belic;BEL;IC24;;;;bel.ic24;
belic;BEL;IC25;;;;bel.ic25;
belic;BEL;IC26;;;;bel.ic26;
belic;BEL;IC28;;;;bel.ic28;
belic;BEL;IC29;;;;bel.ic29;
belic;BEL;IC30;;;;bel.ic30;
belic;BEL;IC31;;;;bel.ic31;
belic;BEL;IC32;;;;bel.ic32;
belic;BEL;IC33;;;;bel.ic33;
belic;LUX;IC33;;;;lux.ic33;
belic;NLD;IC35;;;;nld.ic35;
belic;BEL;IC35;;;;bel.ic35;
