systemName;region;route;banner;abbrev;city;root;altRouteNames
belrsb;BEL;S1;;;Bruxelles / Brussels;bel.s01;
belrsb;BEL;S2;;;Bruxelles / Brussels;bel.s02;
belrsb;BEL;S3;;;Bruxelles / Brussels;bel.s03;
belrsb;BEL;S4;;;Bruxelles / Brussels;bel.s04;
belrsb;BEL;S5;;;Bruxelles / Brussels;bel.s05;
belrsb;BEL;S6;;;Bruxelles / Brussels;bel.s06;
belrsb;BEL;S7;;;Bruxelles / Brussels;bel.s07;
belrsb;BEL;S8;;;Bruxelles / Brussels;bel.s08;
belrsb;BEL;S9;;;Bruxelles / Brussels;bel.s09;
belrsb;BEL;S10;;;Bruxelles / Brussels;bel.s10;
belrsb;BEL;S19;;;Bruxelles / Brussels;bel.s19;
belrsb;BEL;S20;;;Bruxelles / Brussels;bel.s20;
