systemName;route;banner;groupName;roots
belrsb;S1;;Bruxelles / Brussels;bel.s01
belrsb;S2;;Bruxelles / Brussels;bel.s02
belrsb;S3;;Bruxelles / Brussels;bel.s03
belrsb;S4;;Bruxelles / Brussels;bel.s04
belrsb;S5;;Bruxelles / Brussels;bel.s05
belrsb;S6;;Bruxelles / Brussels;bel.s06
belrsb;S7;;Bruxelles / Brussels;bel.s07
belrsb;S8;;Bruxelles / Brussels;bel.s08
belrsb;S9;;Bruxelles / Brussels;bel.s09
belrsb;S10;;Bruxelles / Brussels;bel.s10
belrsb;S19;;Bruxelles / Brussels;bel.s19
belrsb;S20;;Bruxelles / Brussels;bel.s20
