systemName;region;route;banner;abbrev;city;root;altRouteNames
bgrst;BGR;1;;Sof;Sofia;bgr.01sof;
bgrst;BGR;3;;Sof;Sofia;bgr.03sof;
bgrst;BGR;4;;Sof;Sofia;bgr.04sof;
bgrst;BGR;5;;Sof;Sofia;bgr.05sof;
bgrst;BGR;6;;Sof;Sofia;bgr.06sof;
bgrst;BGR;7;;Sof;Sofia;bgr.07sof;
bgrst;BGR;8;;Sof;Sofia;bgr.08sof;
bgrst;BGR;10;;Sof;Sofia;bgr.10sof;
bgrst;BGR;11;;Sof;Sofia;bgr.11sof;
bgrst;BGR;12;;Sof;Sofia;bgr.12sof;
bgrst;BGR;18;;Sof;Sofia;bgr.18sof;
bgrst;BGR;20;;Sof;Sofia;bgr.20sof;
bgrst;BGR;22;;Sof;Sofia;bgr.22sof;
bgrst;BGR;23;;Sof;Sofia;bgr.23sof;
bgrst;BGR;27;;Sof;Sofia;bgr.27sof;
