systemName;region;route;banner;abbrev;city;root;altRouteNames
chebes;CHE;S1;;Ber;Bern;che.s01ber;
chebes;CHE;S2;;Ber;Bern;che.s02ber;
chebes;CHE;S3;;Ber;Bern;che.s03ber;
chebes;CHE;S4;;Ber;Bern;che.s04ber;
chebes;CHE;S5;;Ave;Bern (Avenches branch);che.s05ave;
chebes;CHE;S5;;Ber;Bern (Neuchatel branch);che.s05ber;S5Neu
chebes;CHE;S6;;Ber;Bern;che.s06ber;
chebes;CHE;S7;;Ber;Bern;che.s07ber;
chebes;CHE;S8;;Ber;Bern;che.s08ber;
chebes;CHE;S9;;Ber;Bern;che.s09ber;
chebes;CHE;S31;;Ber;Bern;che.s31ber;
chebes;CHE;S35;;Ber;Bern;che.s35ber;
chebes;CHE;S36;;Ber;Bern;che.s36ber;
chebes;CHE;S37;;Ber;Bern;che.s37ber;
chebes;CHE;S41;;Ber;Bern;che.s41ber;
chebes;CHE;S42;;Ber;Bern;che.s42ber;
chebes;CHE;S44;;Ber;Bern (Solothun branch);che.s44ber;
chebes;CHE;S44;;Sum;Bern (Sumiswald branch);che.s44sum;
chebes;CHE;S45;;Ber;Bern;che.s45ber;
chebes;CHE;S51;;Ber;Bern;che.s51ber;
chebes;CHE;S52;;Ber;Bern;che.s52ber;
