systemName;route;banner;groupName;roots
chebes;S1;;Bern;che.s01ber
chebes;S2;;Bern;che.s02ber
chebes;S3;;Bern;che.s03ber
chebes;S4;;Bern;che.s04ber
chebes;S5;;Bern (Avenches branch);che.s05ave
chebes;S5;;Bern (Neuchatel branch);che.s05ber
chebes;S6;;Bern;che.s06ber
chebes;S7;;Bern;che.s07ber
chebes;S8;;Bern;che.s08ber
chebes;S9;;Bern;che.s09ber
chebes;S31;;Bern;che.s31ber
chebes;S35;;Bern;che.s35ber
chebes;S36;;Bern;che.s36ber
chebes;S37;;Bern;che.s37ber
chebes;S41;;Bern;che.s41ber
chebes;S42;;Bern;che.s42ber
chebes;S44;;Bern (Solothun branch);che.s44ber
chebes;S44;;Bern (Sumiswald branch);che.s44sum
chebes;S45;;Bern;che.s45ber
chebes;S51;;Bern;che.s51ber
chebes;S52;;Bern;che.s52ber
