systemName;region;route;banner;abbrev;city;root;altRouteNames
chebst;CHE;1;;Bas;;che.01bas;
chebst;CHE;2;;Bas;;che.02bas;
chebst;FRA-GES;3;;Bas;;frages.03bas;
chebst;CHE;3;;Bas;;che.03bas;
chebst;CHE;6;;Bas;;che.06bas;
chebst;DEU-BW;8;;Bas;;deubw.08bas;
chebst;CHE;8;;Bas;;che.08bas;
chebst;CHE;10;;Rod;Rodersdorf;che.10rod;
chebst;FRA-GES;10;;Bas;;frages.10bas;
chebst;CHE;10;;Bas;;che.10bas;
chebst;CHE;11;;Bas;;che.11bas;
chebst;CHE;E11;;Bas;;che.e11bas;
chebst;CHE;14;;Bas;;che.14bas;
chebst;CHE;15;;Bas;;che.15bas;
chebst;CHE;16;;Bas;;che.16bas;
chebst;CHE;17;;Bas;;che.17bas;
chebst;CHE;21;;Bas;;che.21bas;
