systemName;region;route;banner;abbrev;city;root;altRouteNames
cher;CHE;R11;;Sim;Simmental;che.r11sim;
cher;CHE;R12;;Sim;Simmental;che.r12sim;
cher;CHE;R11;;Vau;Vaud;che.r11vau;
cher;CHE;R12;;Vau;Vaud;che.r12vau;
cher;CHE;R13;;Neu;Neuchâtel;che.r13neu;
cher;CHE;R15;;Neu;Neuchâtel;che.r15neu;
cher;CHE;R20;;Vau;Vaud;che.r20vau;
cher;CHE;R20;;Neu;Neuchâtel;che.r20neu;
cher;CHE;R21;;Neu;Neuchâtel;che.r21neu;
cher;CHE;R22;;Neu;Neuchâtel;che.r22neu;
cher;CHE;R23;;Neu;Neuchâtel;che.r23neu;
cher;CHE;R24;;Neu;Neuchâtel;che.r24neu;
cher;CHE;R30;;Vau;Vaud;che.r30vau;
cher;CHE;R31;;Sim;Simmental;che.r31sim;
cher;CHE;R32;;Sim;Simmental;che.r32sim;
cher;CHE;R34;;Vau;Vaud;che.r34vau;
cher;CHE;R35;;Vau;Vaud;che.r35vau;
cher;CHE;R36;;Jur;Jura;che.r36jur;
cher;CHE;R37;;Jur;Jura;che.r37jur;
cher;CHE;R37;;Vau;Vaud;che.r37vau;
cher;CHE;R40;;MGB;Matterhorn Gotthard Bahn;che.r40mgb;
cher;CHE;R41;;MGB;Matterhorn Gotthard Bahn;che.r41mgb;
cher;CHE;R41;;Bie;Biel/Bienne;che.r41bie;
cher;CHE;R42;;Bie;Biel/Bienne;che.r42bie;
cher;CHE;R43;;MGB;Matterhorn Gotthard Bahn;che.r43mgb;
cher;CHE;R44;;MGB;Matterhorn Gotthard Bahn;che.r44mgb;
cher;CHE;R45;;MGB;Matterhorn Gotthard Bahn;che.r45mgb;
cher;CHE;R46;;MGB;Matterhorn Gotthard Bahn;che.r46mgb;
cher;CHE;R48;;MGB;Matterhorn Gotthard Bahn;che.r48mgb;
cher;CHE;R51;;Jur;Jura;che.r51jur;
cher;CHE;R55;;Vau;Vaud;che.r55vau;
cher;CHE;R56;;Vau;Vaud;che.r56vau;
cher;CHE;R57;;Vau;Vaud;che.r57vau;
cher;CHE;R70;;Vau;Vaud;che.r70vau;
cher;CHE;R71;;Vau;Vaud;che.r71vau;
cher;CHE;R72;;Vau;Vaud;che.r72vau;
cher;CHE;R74;;Vau;Vaud;che.r74vau;
cher;CHE;R81;;Val;Vallis;che.r81val;
cher;CHE;R82;;Val;Vallis;che.r82val;
cher;CHE;R91;;Val;Vallis;che.r91val;
