systemName;route;banner;groupName;roots
cher;R11;;Simmental;che.r11sim
cher;R12;;Simmental;che.r12sim
cher;R11;;Vaud;che.r11vau
cher;R12;;Vaud;che.r12vau
cher;R13;;Neuchâtel;che.r13neu
cher;R15;;Neuchâtel;che.r15neu
cher;R20;;Vaud;che.r20vau
cher;R20;;Neuchâtel;che.r20neu
cher;R21;;Neuchâtel;che.r21neu
cher;R22;;Neuchâtel;che.r22neu
cher;R23;;Neuchâtel;che.r23neu
cher;R24;;Neuchâtel;che.r24neu
cher;R30;;Vaud;che.r30vau
cher;R31;;Simmental;che.r31sim
cher;R32;;Simmental;che.r32sim
cher;R34;;Vaud;che.r34vau
cher;R35;;Vaud;che.r35vau
cher;R36;;Jura;che.r36jur
cher;R37;;Jura;che.r37jur
cher;R37;;Vaud;che.r37vau
cher;R40;;Matterhorn Gotthard Bahn;che.r40mgb
cher;R41;;Matterhorn Gotthard Bahn;che.r41mgb
cher;R41;;Biel/Bienne;che.r41bie
cher;R42;;Biel/Bienne;che.r42bie
cher;R43;;Matterhorn Gotthard Bahn;che.r43mgb
cher;R44;;Matterhorn Gotthard Bahn;che.r44mgb
cher;R45;;Matterhorn Gotthard Bahn;che.r45mgb
cher;R46;;Matterhorn Gotthard Bahn;che.r46mgb
cher;R48;;Matterhorn Gotthard Bahn;che.r48mgb
cher;R55;;Vaud;che.r55vau
cher;R56;;Vaud;che.r56vau
cher;R57;;Vaud;che.r57vau
cher;R70;;Vaud;che.r70vau
cher;R71;;Vaud;che.r71vau
cher;R72;;Vaud;che.r72vau
cher;R74;;Vaud;che.r74vau
cher;R81;;Vallis;che.r81val
cher;R82;;Vallis;che.r82val
cher;R91;;Vallis;che.r91val
