systemName;region;route;banner;abbrev;city;root;altRouteNames
chesgs;CHE;S1;;Gal;;che.s01gal;
chesgs;CHE;S2;;Gal;;che.s02gal;
chesgs;CHE;S4;;Gal;;che.s04gal;
chesgs;CHE;S5;;Gal;;che.s05gal;
chesgs;CHE;S6;;Gal;;che.s06gal;
chesgs;CHE;S7;;Gal;;che.s07gal;
chesgs;AUT;S7;;Gal;;aut.s07gal;
chesgs;DEU-BY;S7;;Gal;;deuby.s07gal;
chesgs;CHE;S9;;Gal;;che.s09gal;
chesgs;CHE;S10;;Gal;;che.s10gal;
chesgs;CHE;S12;;Gal;;che.s12gal;
chesgs;DEU-BW;S14;;Gal;;deubw.s14gal;
chesgs;CHE;S14;;Gal;;che.s14gal;
chesgs;CHE;S15;;Gal;;che.s15gal;
chesgs;CHE;S20;;Gal;;che.s20gal;
chesgs;CHE;S21;;Gal;;che.s21gal;
chesgs;CHE;S22;;Gal;;che.s22gal;
chesgs;CHE;S23;;Gal;;che.s23gal;
chesgs;CHE;S24;;Gal;;che.s24gal;
chesgs;CHE;S25;;Gal;;che.s25gal;
chesgs;CHE;S26;;Gal;;che.s26gal;
chesgs;CHE;S81;;Gal;;che.s81gal;
chesgs;CHE;S82;;Gal;;che.s82gal;
