systemName;region;route;banner;abbrev;city;root;altRouteNames
chezhs;CHE;S2;;;;che.s02;
chezhs;CHE;S3;;;;che.s03;
chezhs;CHE;S4;;;;che.s04;
chezhs;CHE;S5;;;;che.s05;
chezhs;CHE;S6;;;;che.s06;
chezhs;CHE;S7;;;;che.s07;
chezhs;CHE;S8;;;;che.s08;
chezhs;CHE;S9;;Sch;Schaffhausen;che.s09sch;
chezhs;DEU-BW;S9;;Jes;Jestetten;deubw.s09jes;
chezhs;CHE;S9;;;;che.s09;
chezhs;CHE;S10;;;;che.s10;
chezhs;CHE;S11;;;;che.s11;
chezhs;CHE;S11;;Sen;Sennhof branch;che.s11sen;
chezhs;CHE;S12;;;;che.s12;
chezhs;CHE;S12;;Sch;Schaffhausen branch;che.s12sch;
chezhs;CHE;S13;;;;che.s13;
chezhs;CHE;S14;;;;che.s14;
chezhs;CHE;S15;;;;che.s15;
chezhs;CHE;S16;;;;che.s16;
chezhs;CHE;S17;;;;che.s17;
chezhs;CHE;S18;;;;che.s18;
chezhs;CHE;S19;;;;che.s19;
chezhs;CHE;S20;;;;che.s20;
chezhs;CHE;S21;;;;che.s21;
chezhs;CHE;S23;;;;che.s23;
chezhs;CHE;S24;;;;che.s24;
chezhs;CHE;S24;;Wei;Wienfelden branch;che.s24wei;
chezhs;CHE;S25;;;;che.s25;
chezhs;CHE;S26;;;;che.s26;
chezhs;CHE;S29;;;;che.s29;
chezhs;CHE;S30;;;;che.s30;
chezhs;CHE;S33;;;;che.s33;
chezhs;CHE;S35;;;;che.s35;
chezhs;DEU-BW;S36;;;;deubw.s36;
chezhs;CHE;S36;;;;che.s36;
chezhs;CHE;S40;;;;che.s40;
chezhs;CHE;S41;;;;che.s41;
chezhs;CHE;S42;;;;che.s42;
