systemName;region;route;banner;abbrev;city;root;altRouteNames
chezht;CHE;2;;Zur;Zürich;che.02zur;
chezht;CHE;3;;Zur;Zürich;che.03zur;
chezht;CHE;4;;Zur;Zürich;che.04zur;
chezht;CHE;5;;Zur;Zürich;che.05zur;
chezht;CHE;6;;Zur;Zürich;che.06zur;
chezht;CHE;7;;Zur;Zürich;che.07zur;
chezht;CHE;8;;Zur;Zürich;che.08zur;
chezht;CHE;9;;Zur;Zürich;che.09zur;
chezht;CHE;10;;Zur;Zürich;che.10zur;
chezht;CHE;11;;Zur;Zürich;che.11zur;
chezht;CHE;12;;Zur;Zürich;che.12zur;
chezht;CHE;13;;Zur;Zürich;che.13zur;
chezht;CHE;14;;Zur;Zürich;che.14zur;
chezht;CHE;15;;Zur;Zürich;che.15zur;
chezht;CHE;17;;Zur;Zürich;che.17zur;
chezht;CHE;20;;Zur;Zürich;che.20zur;
chezht;CHE;50;;Zur;Zürich;che.50zur;
chezht;CHE;51;;Zur;Zürich;che.51zur;
