systemName;route;banner;groupName;roots
chezht;2;;Zürich;che.02zur
chezht;3;;Zürich;che.03zur
chezht;4;;Zürich;che.04zur
chezht;5;;Zürich;che.05zur
chezht;6;;Zürich;che.06zur
chezht;7;;Zürich;che.07zur
chezht;8;;Zürich;che.08zur
chezht;9;;Zürich;che.09zur
chezht;10;;Zürich;che.10zur
chezht;11;;Zürich;che.11zur
chezht;12;;Zürich;che.12zur
chezht;13;;Zürich;che.13zur
chezht;14;;Zürich;che.14zur
chezht;15;;Zürich;che.15zur
chezht;17;;Zürich;che.17zur
chezht;20;;Zürich;che.20zur
chezht;50;;Zürich;che.50zur
chezht;51;;Zürich;che.51zur
