systemName;region;route;banner;abbrev;city;root;altRouteNames
chezss;CHE;S1;;Zen;Zentralschweiz;che.s01zen;
chezss;CHE;S2;;Zen;Zentralschweiz;che.s02zen;
chezss;CHE;S3;;Zen;Zentralschweiz;che.s03zen;
chezss;CHE;S4;;Zen;Zentralschweiz;che.s04zen;
chezss;CHE;S5;;Zen;Zentralschweiz;che.s05zen;
chezss;CHE;S6;;Zen;Zentralschweiz;che.s06zen;
chezss;CHE;S6;;Lan;Langenthal, Zentralschweiz;che.s06lan;
chezss;CHE;S7;;Zen;Zentralschweiz;che.s07zen;
chezss;CHE;S9;;Zen;Zentralschweiz;che.s09zen;
chezss;CHE;S31;;Zen;Zentralschweiz;che.s31zen;
chezss;CHE;S41;;Zen;Zentralschweiz;che.s41zen;
chezss;CHE;S44;;Zen;Zentralschweiz;che.s44zen;
chezss;CHE;S55;;Zen;Zentralschweiz;che.s55zen;
chezss;CHE;S77;;Zen;Zentralschweiz;che.s77zen;
chezss;CHE;S99;;Zen;Zentralschweiz;che.s99zen;
