systemName;route;banner;groupName;roots
chezss;S1;;Zentralschweiz;che.s01zen
chezss;S2;;Zentralschweiz;che.s02zen
chezss;S3;;Zentralschweiz;che.s03zen
chezss;S4;;Zentralschweiz;che.s04zen
chezss;S5;;Zentralschweiz;che.s05zen
chezss;S6;;Zentralschweiz;che.s06zen
chezss;S6;;Langenthal, Zentralschweiz;che.s06lan
chezss;S7;;Zentralschweiz;che.s07zen
chezss;S9;;Zentralschweiz;che.s09zen
chezss;S31;;Zentralschweiz;che.s31zen
chezss;S41;;Zentralschweiz;che.s41zen
chezss;S44;;Zentralschweiz;che.s44zen
chezss;S55;;Zentralschweiz;che.s55zen
chezss;S77;;Zentralschweiz;che.s77zen
chezss;S99;;Zentralschweiz;che.s99zen
