systemName;region;route;banner;abbrev;city;root;altRouteNames
chncrh;CHN-XJ;Eurasia;;;Eurasia Continental Bridge HSR;chnxj.hsreurasia;
chncrh;CHN-GS;Eurasia;;Yu;Eurasia Continental Bridge HSR (Yumen);chngs.hsreurasiayu;
chncrh;CHN-QH;Eurasia;;;Eurasia Continental Bridge HSR;chnqh.hsreurasia;
chncrh;CHN-GS;Eurasia;;;Eurasia Continental Bridge HSR;chngs.hsreurasia;
chncrh;CHN-SN;Eurasia;;;Eurasia Continental Bridge HSR;chnsn.hsreurasia;
chncrh;CHN-HA;Eurasia;;;Eurasia Continental Bridge HSR;chnha.hsreurasia;
chncrh;CHN-AH;Eurasia;;Dan;Eurasia Continental Bridge HSR (Dangshan);chnah.hsreurasiadang;
chncrh;CHN-HA;Eurasia;;Yon;Eurasia Continental Bridge HSR (Yongcheng);chnha.hsreurasiayong;
chncrh;CHN-AH;Eurasia;;;Eurasia Continental Bridge HSR;chnah.hsreurasia;
chncrh;CHN-JS;Eurasia;;;Eurasia Continental Bridge HSR;chnjs.hsreurasia;
chncrh;CHN-GD;GuangShenGang;;;Guangshengang HSR;chngd.hsrguangshengang;
chncrh;HKG;GuangShenGang;;;Guangshengang HSR;hkg.hsrguangshengang;
chncrh;CHN-GD;GuangZhan;;;Guangzhan HSR;chngd.hsrguangzhan;
chncrh;CHN-SC;ChengYu;;;Chengyu HSR;chnsc.hsrchengyu;
chncrh;CHN-CQ;ChengYu;;;Chengyu HSR;chncq.hsrchengyu;
chncrh;CHN-SN;XiCheng;;;Xicheng HSR;chnsn.hsrxicheng;
chncrh;CHN-SC;XiCheng;;;Xicheng HSR;chnsc.hsrxicheng;
chncrh;CHN-BJ;JingHa;;;Jingha HSR;chnbj.hsrjingha;
chncrh;CHN-HE;JingHa;;;Jingha HSR;chnhe.hsrjingha;
chncrh;CHN-LN;JingHa;;;Jingha HSR;chnln.hsrjingha;
chncrh;CHN-JL;JingHa;;;Jingha HSR;chnjl.hsrjingha;
chncrh;CHN-HL;JingHa;;;Jingha HSR;chnhl.hsrjingha;
chncrh;CHN-GD;JingGang;;;JingGang HSR;chngd.hsrjinggang;
chncrh;HKG;JingGang;;;JingGang HSR;hkg.hsrjinggang;
chncrh;CHN-JX;JingGang;;;JingGang HSR;chnjx.hsrjinggang;
chncrh;CHN-BJ;JingGuang;;;Jingguang HSR;chnbj.hsrjingguang;
chncrh;CHN-HE;JingGuang;;;Jingguang HSR;chnhe.hsrjingguang;
chncrh;CHN-HA;JingGuang;;;Jingguang HSR;chnha.hsrjingguang;
chncrh;CHN-BJ;JingGuang;W;;Jingguang HSR (Beijing West branch);chnbj.hsrjingguangw;
chncrh;CHN-HB;JingGuang;;;Jingguang HSR;chnhb.hsrjingguang;
chncrh;CHN-HN;JingGuang;;;Jingguang HSR;chnhn.hsrjingguang;
chncrh;CHN-GD;JingGuang;;;Jingguang HSR;chngd.hsrjingguang;
chncrh;CHN-BJ;JingHu;;;Jinghu HSR;chnbj.hsrjinghu;
chncrh;CHN-HE;JingHu;;;Jinghu HSR;chnhe.hsrjinghu;
chncrh;CHN-TJ;JingHu;;;Jinghu HSR;chntj.hsrjinghu;
chncrh;CHN-HE;JingHu;;Can;Jinghu HSR (Cangzhou);chnhe.hsrjinghucang;
chncrh;CHN-SD;JingHu;;;Jinghu HSR;chnsd.hsrjinghu;
chncrh;CHN-JS;JingHu;;Xu;Jinghu HSR (Xuzhou);chnjs.hsrjinghuxu;
chncrh;CHN-AH;JingHu;;;Jinghu HSR;chnah.hsrjinghu;
chncrh;CHN-JS;JingHu;;;Jinghu HSR;chnjs.hsrjinghu;
chncrh;CHN-SH;JingHu;;;Jinghu HSR;chnsh.hsrjinghu;
chncrh;CHN-BJ;JingZhang;;;Jingzhang HSR;chnbj.hsrjingzhang;
chncrh;CHN-HE;JingZhang;;;Jingzhang HSR;chnhe.hsrjingzhang;
chncrh;CHN-BJ;JingZhang;Yan;;Jingzhang HSR (Yangqing branch);chnbj.hsrjingzhangyan;
chncrh;CHN-HE;JingZhang;Cho;;Jingzhang HSR (Chongli spur);chnhe.hsrjingzhangcho;
chncrh;CHN-ZJ;HangShen;;;Hangshen HSR;chnzj.hsrhangshen;
chncrh;CHN-GD;HangShen;;;Hangshen HSR;chngd.hsrhangshen;
chncrh;CHN-FJ;HangShen;;;Hangshen HSR;chnfj.hsrhangshen;
chncrh;CHN-SH;HuKun;;;Hukun HSR;chnsh.hsrhukun;
chncrh;CHN-ZJ;HuKun;;;Hukun HSR;chnzj.hsrhukun;
chncrh;CHN-AH;HeHang;;;Hehang HSR;chnah.hsrhehang;
chncrh;CHN-ZJ;HeHang;;;Hehang HSR;chnzj.hsrhehang;
chncrh;CHN-JX;HuKun;;;Hukun HSR;chnjx.hsrhukun;
chncrh;CHN-HN;HuKun;;;Hukun HSR;chnhn.hsrhukun;
chncrh;CHN-GZ;HuKun;;;Hukun HSR;chngz.hsrhukun;
chncrh;CHN-YN;HuKun;;;Hukun HSR;chnyn.hsrhukun;
chncrh;CHN-JS;HuNing;;;Huning HSR;chnjs.hsrhuning;
chncrh;CHN-SH;HuNing;;;Huning HSR;chnsh.hsrhuning;
chncrh;CHN-SH;HuSuHu;;;Husuhu HSR;chnsh.hsrhusuhu;
chncrh;CHN-JS;HuSuHu;;;Husuhu HSR;chnjs.hsrhusuhu;
chncrh;CHN-ZJ;HuSuHu;;;Husuhu HSR;chnzj.hsrhusuhu;
chncrh;CHN-SC;LanGuang;;;Languang HSR;chnsc.hsrlanguang;
chncrh;CHN-YN;LanGuang;;;Languang HSR;chnyn.hsrlanguang;
chncrh;CHN-GZ;LanGuang;;;Languang HSR;chngz.hsrlanguang;
chncrh;CHN-GX;LanGuang;;;Languang HSR;chngx.hsrlanguang;
chncrh;CHN-GD;LanGuang;;;Languang HSR;chngd.hsrlanguang;
chncrh;CHN-JS;NingHang;;;Ninghang HSR;chnjs.hsrninghang;
chncrh;CHN-ZJ;NingHang;;;Ninghang HSR;chnzj.hsrninghang;
chncrh;CHN-HE;ShiJi;;;Shiji HSR;chnhe.hsrshiji;
chncrh;CHN-SD;ShiJi;;;Shiji HSR;chnsd.hsrshiji;
chncrh;CHN-SX;ShiTai;;;Shitai HSR;chnsx.hsrshitai;
chncrh;CHN-HE;ShiTai;;;Shitai HSR;chnhe.hsrshitai;
chncrh;CHN-HL;SuiMan;;;Suiman HSR;chnhl.hsrsuiman;
chncrh;CHN-GD;MeiShan;;;Meishan HSR;chngd.hsrmeishan;
chncrh;CHN-GD;YongGuang;;;Yongguang HSR;chngd.hsryongguang;
