systemName;region;route;banner;abbrev;city;root;altRouteNames
chngdgzfm;CHN-GD;1;;GZM;Guangzhou Metro Line 1;chngd.gzm01;GZMLn1
chngdgzfm;CHN-GD;2;;GZM;Guangzhou Metro Line 2;chngd.gzm02;GZMLn2
chngdgzfm;CHN-GD;3;;GZM;Guangzhou Metro Line 3 (Airport branch);chngd.gzm03;GZMLn3
chngdgzfm;CHN-GD;3;Tia;GZM;Guangzhou Metro Line 3 (Tianhe branch);chngd.gzm03tian;GZMLn3Tia
chngdgzfm;CHN-GD;4;;GZM;Guangzhou Metro Line 4;chngd.gzm04;GZMLn4
chngdgzfm;CHN-GD;5;;GZM;Guangzhou Metro Line 5;chngd.gzm05;GZMLn5
chngdgzfm;CHN-GD;6;;GZM;Guangzhou Metro Line 6;chngd.gzm06;GZMLn6
chngdgzfm;CHN-GD;7;;GZM;Guangzhou Metro Line 7;chngd.gzm07;GZMLn7
chngdgzfm;CHN-GD;8;;GZM;Guangzhou Metro Line 8;chngd.gzm08;GZMLn8
chngdgzfm;CHN-GD;9;;GZM;Guangzhou Metro Line 9;chngd.gzm09;GZMLn9
chngdgzfm;CHN-GD;10;;GZM;Guangzhou Metro Line 10;chngd.gzm10;GZMLn10
chngdgzfm;CHN-GD;11;;GZM;Guangzhou Metro Line 11;chngd.gzm11;GZMLn11
chngdgzfm;CHN-GD;12;;GZM;Guangzhou Metro Line 12;chngd.gzm12;GZMLn12
chngdgzfm;CHN-GD;13;;GZM;Guangzhou Metro Line 13;chngd.gzm13;GZMLn13
chngdgzfm;CHN-GD;14;;GZM;Guangzhou Metro Line 14;chngd.gzm14;GZMLn14
chngdgzfm;CHN-GD;14;Kno;GZM;Guangzhou Metro Line 14 (Knowledge City branch);chngd.gzm14kno;GZMLn14Kno
chngdgzfm;CHN-GD;18;;GZM;Guangzhou Metro Line 18;chngd.gzm18;GZMLn18
chngdgzfm;CHN-GD;21;;GZM;Guangzhou Metro Line 21;chngd.gzm21;GZMLn21
chngdgzfm;CHN-GD;22;;GZM;Guangzhou Metro Line 22;chngd.gzm22;GZMLn22
chngdgzfm;CHN-GD;GFLn;;;Guangfo Line;chngd.gf;
chngdgzfm;CHN-GD;2;;FSM;FMetro Line 2;chngd.fmetro02;FMetroLn2
chngdgzfm;CHN-GD;3;;FSM;FMetro Line 3;chngd.fmetro03;FMetroLn3
