systemName;route;banner;groupName;roots
chngdszm;1;;Shenzhen Metro Line 1;chngd.szm01
chngdszm;2;;Shenzhen Metro Line 2;chngd.szm02
chngdszm;3;;Shenzhen Metro Line 3;chngd.szm03
chngdszm;4;;Shenzhen Metro Line 4;chngd.szm04
chngdszm;5;;Shenzhen Metro Line 5;chngd.szm05
chngdszm;6;;Shenzhen Metro Line 6;chngd.szm06
chngdszm;6;;Shenzhen Metro Line 6 (Branch);chngd.szm06b
chngdszm;7;;Shenzhen Metro Line 7;chngd.szm07
chngdszm;8;;Shenzhen Metro Line 8;chngd.szm08
chngdszm;9;;Shenzhen Metro Line 9;chngd.szm09
chngdszm;10;;Shenzhen Metro Line 10;chngd.szm10
chngdszm;11;;Shenzhen Metro Line 11;chngd.szm11
chngdszm;12;;Shenzhen Metro Line 12;chngd.szm12
chngdszm;13;;Shenzhen Metro Line 13;chngd.szm13
chngdszm;14;;Shenzhen Metro Line 14;chngd.szm14
chngdszm;16;;Shenzhen Metro Line 16;chngd.szm16
chngdszm;20;;Shenzhen Metro Line 20;chngd.szm20
