systemName;region;route;banner;abbrev;city;root;altRouteNames
chnjsnjm;CHN-JS;1;;NJ;Nanjing Metro Line 1;chnjs.njm01;
chnjsnjm;CHN-JS;2;;NJ;Nanjing Metro Line 2;chnjs.njm02;
chnjsnjm;CHN-JS;3;;NJ;Nanjing Metro Line 3;chnjs.njm03;
chnjsnjm;CHN-JS;4;;NJ;Nanjing Metro Line 4;chnjs.njm04;
chnjsnjm;CHN-JS;5;;NJ;Nanjing Metro Line 5;chnjs.njm05;
chnjsnjm;CHN-JS;7;;NJ;Nanjing Metro Line 7;chnjs.njm07;
chnjsnjm;CHN-JS;10;;NJ;Nanjing Metro Line 10;chnjs.njm10;
chnjsnjm;CHN-JS;S1;;NJ;Nanjing Metro Line S1;chnjs.njms1;
chnjsnjm;CHN-JS;S3;;NJ;Nanjing Metro Line S3;chnjs.njms3;
chnjsnjm;CHN-AH;S4;;NJ;Nanjing Metro Line S4;chnah.njms4;
chnjsnjm;CHN-JS;S6;;NJ;Nanjing Metro Line S6;chnjs.njms6;
chnjsnjm;CHN-JS;S7;;NJ;Nanjing Metro Line S7;chnjs.njms7;
chnjsnjm;CHN-JS;S8;;NJ;Nanjing Metro Line S8;chnjs.njms8;
chnjsnjm;CHN-JS;S9;;NJ;Nanjing Metro Line S9;chnjs.njms9;
