systemName;route;banner;groupName;roots
chnjsnjm;NJMLn1;;Nanjing Metro Line 1;chnjs.njm01
chnjsnjm;NJMLn2;;Nanjing Metro Line 2;chnjs.njm02
chnjsnjm;NJMLn3;;Nanjing Metro Line 3;chnjs.njm03
chnjsnjm;NJMLn4;;Nanjing Metro Line 4;chnjs.njm04
chnjsnjm;NJMLn5;;Nanjing Metro Line 5;chnjs.njm05
chnjsnjm;NJMLn7;;Nanjing Metro Line 7;chnjs.njm07
chnjsnjm;NJMLn10;;Nanjing Metro Line 10;chnjs.njm10
chnjsnjm;NJMS1;;Nanjing Metro Line S1;chnjs.njms1
chnjsnjm;NJMS3;;Nanjing Metro Line S3;chnjs.njms3
chnjsnjm;NJMS4;;Nanjing Metro Line S4;chnah.njms4
chnjsnjm;NJMS6;;Nanjing Metro Line S6;chnjs.njms6
chnjsnjm;NJMS7;;Nanjing Metro Line S7;chnjs.njms7
chnjsnjm;NJMS8;;Nanjing Metro Line S8;chnjs.njms8
chnjsnjm;NJMS9;;Nanjing Metro Line S9;chnjs.njms9
