systemName;route;banner;groupName;roots
chnsccdm;1;;Chengdu Metro Line 1;chnsc.cdm01
chnsccdm;1;Y;Chengdu Metro Line 1 (Branch);chnsc.cdm01y
chnsccdm;2;;Chengdu Metro Line 2;chnsc.cdm02
chnsccdm;3;;Chengdu Metro Line 3;chnsc.cdm03
chnsccdm;4;;Chengdu Metro Line 4;chnsc.cdm04
chnsccdm;5;;Chengdu Metro Line 5;chnsc.cdm05
chnsccdm;6;;Chengdu Metro Line 6;chnsc.cdm06
chnsccdm;7;;Chengdu Metro Line 7;chnsc.cdm07
chnsccdm;8;;Chengdu Metro Line 8;chnsc.cdm08
chnsccdm;9;;Chengdu Metro Line 9;chnsc.cdm09
chnsccdm;10;;Chengdu Metro Line 10;chnsc.cdm10
chnsccdm;13;;Chengdu Metro Line 13;chnsc.cdm13
chnsccdm;17;;Chengdu Metro Line 17;chnsc.cdm17
chnsccdm;18;;Chengdu Metro Line 18;chnsc.cdm18
chnsccdm;19;;Chengdu Metro Line 19;chnsc.cdm19
chnsccdm;27;;Chengdu Metro Line 27;chnsc.cdm27
chnsccdm;30;;Chengdu Metro Line 30;chnsc.cdm30
