systemName;region;route;banner;abbrev;city;root;altRouteNames
chnshm;CHN-SH;SHMLn1;;;Shanghai Metro Line 1;chnsh.shm01;
chnshm;CHN-SH;SHMLn2;;;Shanghai Metro Line 2;chnsh.shm02;
chnshm;CHN-SH;SHMLn3;;;Shanghai Metro Line 3;chnsh.shm03;
chnshm;CHN-SH;SHMLn3;;;Shanghai Metro Line 3;chnsh.shm03;
chnshm;CHN-SH;SHMLn4;;;Shanghai Metro Line 4;chnsh.shm04;
chnshm;CHN-SH;SHMLn5;;;Shanghai Metro Line 5;chnsh.shm05;
chnshm;CHN-SH;SHMLn5Min;;;Shanghai Metro Line 5 (Minhang branch);chnsh.shm05min;
chnshm;CHN-SH;SHMLn6;;;Shanghai Metro Line 6;chnsh.shm06;
chnshm;CHN-SH;SHMLn7;;;Shanghai Metro Line 7;chnsh.shm07;
chnshm;CHN-SH;SHMLn8;;;Shanghai Metro Line 8;chnsh.shm08;
chnshm;CHN-SH;SHMLn9;;;Shanghai Metro Line 9;chnsh.shm09;
chnshm;CHN-SH;SHMLn10;;;Shanghai Metro Line 10;chnsh.shm10;
chnshm;CHN-SH;SHMLn10Branch;;;Shanghai Metro Line 10 (Branch line);chnsh.shm10branch;
chnshm;CHN-SH;SHMLn11Jia;;;Shanghai Metro Line 11 (Jiading branch);chnsh.shm11;
chnshm;CHN-SH;SHMLn11Hua;;;Shanghai Metro Line 11 (Huaquiao branch);chnsh.shm11hua;
chnshm;CHN-JS;SHMLn11Hua;;;Shanghai Metro Line 11  (Huaquiao branch);chnjs.shm11;
chnshm;CHN-SH;SHMLn12;;;Shanghai Metro Line 12;chnsh.shm12;
chnshm;CHN-SH;SHMLn13;;;Shanghai Metro Line 13;chnsh.shm13;
chnshm;CHN-SH;SHMLn14;;;Shanghai Metro Line 14;chnsh.shm14;
chnshm;CHN-SH;SHMLn15;;;Shanghai Metro Line 15;chnsh.shm15;
chnshm;CHN-SH;SHMLn16;;;Shanghai Metro Line 16;chnsh.shm16;
chnshm;CHN-SH;SHMLn17;;;Shanghai Metro Line 17;chnsh.shm17;
chnshm;CHN-SH;SHMLn18;;;Shanghai Metro Line 18;chnsh.shm18;
chnshm;CHN-SH;Pujiang;;;Shanghai Metro Pujiang Line;chnsh.pujiang;
chnshm;CHN-SH;Maglev;;;Shanghai Maglev;chnsh.maglev;
