systemName;region;route;banner;abbrev;city;root;altRouteNames
czeduk;CZE;U1;;;;cze.u01;
czeduk;CZE;U2;;;;cze.u02;
czeduk;CZE;U3;;;;cze.u03;
czeduk;CZE;U4;;;;cze.u04;
czeduk;CZE;U5;;;;cze.u05;
czeduk;CZE;U6;;;;cze.u06;
czeduk;CZE;U7;;;;cze.u07;
czeduk;CZE;U8;;;;cze.u08;
czeduk;CZE;U9;;;;cze.u09;
czeduk;CZE;U10;;;;cze.u10;
czeduk;CZE;U11;;;;cze.u11;
czeduk;CZE;U12;;;;cze.u12;
czeduk;CZE;U13;;;;cze.u13;
czeduk;CZE;U14;;;;cze.u14;
czeduk;CZE;U15;;;;cze.u15;
czeduk;CZE;U16;;;;cze.u16;
czeduk;CZE;U21;;;;cze.u21;
czeduk;CZE;U22;;;;cze.u22;
czeduk;CZE;U28;;;;cze.u28;
czeduk;DEU-SN;U28;;;;deusn.u28;
czeduk;CZE;U28;;Dec;Decin;cze.u28dec;
czeduk;CZE;U32;;;;cze.u32;
czeduk;CZE;U40;;;;cze.u40;
czeduk;CZE;U51;;;;cze.u51;
czeduk;CZE;U54;;;;cze.u54;
czeduk;CZE;U57;;;;cze.u57;
