systemName;region;route;banner;abbrev;city;root;altRouteNames
czeem;CZE;S1;;Mor;Moravskoslezsko;cze.s01mor;
czeem;CZE;S2;;Mor;Moravskoslezsko;cze.s02mor;
czeem;CZE;S3;;Mor;Moravskoslezsko;cze.s03mor;
czeem;CZE;S4;;Mor;Moravskoslezsko;cze.s04mor;
czeem;CZE;S5;;Mor;Moravskoslezsko;cze.s05mor;
czeem;CZE;S6;;Mor;Moravskoslezsko;cze.s06mor;
czeem;CZE;S7;;Mor;Moravskoslezsko;cze.s07mor;
czeem;POL;S7;;Mor;Moravskoslezsko;pol.s07mor;
czeem;CZE;S8;;Mor;Moravskoslezsko;cze.s08mor;
czeem;CZE;S9;;Mor;Moravskoslezsko;cze.s09mor;
czeem;CZE;S10;;Mor;Rymarov, Moravskoslezsko;cze.s10mor;
czeem;CZE;S10;;Ber;Beroun, Moravskoslezsko;cze.s10ber;
czeem;CZE;S11;;Mor;Moravskoslezsko;cze.s11mor;
czeem;CZE;S12;;Mor;Moravskoslezsko;cze.s12mor;
czeem;CZE;S13;;Mor;Moravskoslezsko;cze.s13mor;
czeem;CZE;S15;;Mor;Moravskoslezsko;cze.s15mor;
czeem;CZE;S16;;Mor;Moravskoslezsko;cze.s16mor;
czeem;CZE;S17;;Mor;Moravskoslezsko;cze.s17mor;
czeem;CZE;S18;;Mor;Moravskoslezsko;cze.s18mor;
czeem;CZE;S22;;Mor;Moravskoslezsko;cze.s22mor;
czeem;CZE;S31;;Mor;Moravskoslezsko;cze.s31mor;
czeem;CZE;S32;;Mor;Moravskoslezsko;cze.s32mor;
czeem;CZE;S33;;Mor;Moravskoslezsko;cze.s33mor;
czeem;CZE;S34;;Mor;Moravskoslezsko;cze.s34mor;
