systemName;route;banner;groupName;roots
czeem;S1;;Moravskoslezský;cze.s01mor
czeem;S2;;Moravskoslezský;cze.s02mor
czeem;S3;;Moravskoslezský;cze.s03mor
czeem;S4;;Moravskoslezský;cze.s04mor
czeem;S5;;Moravskoslezský;cze.s05mor
czeem;S6;;Moravskoslezský;cze.s06mor
czeem;S7;;Moravskoslezský;cze.s07mor,pol.s07mor
czeem;S8;;Moravskoslezský;cze.s08mor
czeem;S9;;Moravskoslezský;cze.s09mor
czeem;S10;;Moravskoslezský;cze.s10mor
czeem;S10;;Beroun;cze.s10ber
czeem;S11;;Moravskoslezský;cze.s11mor
czeem;S12;;Moravskoslezský;cze.s12mor
czeem;S13;;Moravskoslezský;cze.s13mor
czeem;S15;;Moravskoslezský;cze.s15mor
czeem;S16;;Moravskoslezský;cze.s16mor
czeem;S17;;Moravskoslezský;cze.s17mor
czeem;S18;;Moravskoslezský;cze.s18mor
czeem;S22;;Moravskoslezský;cze.s22mor
czeem;S31;;Moravskoslezský;cze.s31mor
czeem;S32;;Moravskoslezský;cze.s32mor
czeem;S33;;Moravskoslezský;cze.s33mor
czeem;S34;;Moravskoslezský;cze.s34mor
