systemName;region;route;banner;abbrev;city;root;altRouteNames
czetp;CZE;1;;Pra;Praha;cze.01pra;
czetp;CZE;2;;Pra;Praha;cze.02pra;
czetp;CZE;3;;Pra;Praha;cze.03pra;
czetp;CZE;4;;Pra;Praha;cze.04pra;
czetp;CZE;5;;Pra;Praha;cze.05pra;
czetp;CZE;6;;Pra;Praha;cze.06pra;
czetp;CZE;7;;Pra;Praha;cze.07pra;
czetp;CZE;8;;Pra;Praha;cze.08pra;
czetp;CZE;9;;Pra;Praha;cze.09pra;
czetp;CZE;10;;Pra;Praha;cze.10pra;
czetp;CZE;11;;Pra;Praha;cze.11pra;
czetp;CZE;12;;Pra;Praha;cze.12pra;
czetp;CZE;13;;Pra;Praha;cze.13pra;
czetp;CZE;14;;Pra;Praha;cze.14pra;
czetp;CZE;15;;Pra;Praha;cze.15pra;
czetp;CZE;16;;Pra;Praha;cze.16pra;
czetp;CZE;17;;Pra;Praha;cze.17pra;
czetp;CZE;18;;Pra;Praha;cze.18pra;
czetp;CZE;19;;Pra;Praha;cze.19pra;
czetp;CZE;20;;Pra;Praha;cze.20pra;
czetp;CZE;21;;Pra;Praha;cze.21pra;
czetp;CZE;22;;Pra;Praha;cze.22pra;
czetp;CZE;23;;Pra;Praha;cze.23pra;
czetp;CZE;24;;Pra;Praha;cze.24pra;
czetp;CZE;25;;Pra;Praha;cze.25pra;
czetp;CZE;26;;Pra;Praha;cze.26pra;
