systemName;route;banner;groupName;roots
czetp;1;;Praha;cze.01pra
czetp;2;;Praha;cze.02pra
czetp;3;;Praha;cze.03pra
czetp;4;;Praha;cze.04pra
czetp;5;;Praha;cze.05pra
czetp;6;;Praha;cze.06pra
czetp;7;;Praha;cze.07pra
czetp;8;;Praha;cze.08pra
czetp;9;;Praha;cze.09pra
czetp;10;;Praha;cze.10pra
czetp;11;;Praha;cze.11pra
czetp;12;;Praha;cze.12pra
czetp;13;;Praha;cze.13pra
czetp;14;;Praha;cze.14pra
czetp;15;;Praha;cze.15pra
czetp;16;;Praha;cze.16pra
czetp;17;;Praha;cze.17pra
czetp;18;;Praha;cze.18pra
czetp;19;;Praha;cze.19pra
czetp;20;;Praha;cze.20pra
czetp;21;;Praha;cze.21pra
czetp;22;;Praha;cze.22pra
czetp;23;;Praha;cze.23pra
czetp;24;;Praha;cze.24pra
czetp;25;;Praha;cze.25pra
czetp;26;;Praha;cze.26pra
