systemName;region;route;banner;abbrev;city;root;altRouteNames
czevmjk;CZE;S2;;Jih;Jihomoravský;cze.s02jih;
czevmjk;CZE;S3;;Jih;Jihomoravský;cze.s03jih;
czevmjk;CZE;S3;;Zid;Zidlochovice;cze.s03zid;
czevmjk;CZE;S4;;Jih;Jihomoravský;cze.s04jih;
czevmjk;CZE;S5;;Jih;Jihomoravský;cze.s05jih;
czevmjk;CZE;S6;;Jih;Jihomoravský;cze.s06jih;
czevmjk;CZE;S8;;Jih;Jihomoravský;cze.s08jih;
czevmjk;CZE;S9;;Jih;Jihomoravský;cze.s09jih;
czevmjk;CZE;S21;;Jih;Jihomoravský;cze.s21jih;
czevmjk;CZE;S22;;Jih;Jihomoravský;cze.s22jih;
czevmjk;CZE;S31;;Jih;Jihomoravský;cze.s31jih;
czevmjk;CZE;S41;;Jih;Jihomoravský;cze.s41jih;
czevmjk;CZE;S41;;Iva;Ivancice;cze.s41iva;
czevmjk;CZE;S51;;Jih;Jihomoravský;cze.s51jih;
czevmjk;CZE;S52;;Jih;Jihomoravský;cze.s52jih;
czevmjk;CZE;S53;;Jih;Jihomoravský;cze.s53jih;
czevmjk;CZE;S61;;Jih;Jihomoravský;cze.s61jih;
czevmjk;CZE;S71;;Jih;Jihomoravský;cze.s71jih;
czevmjk;CZE;S81;;Jih;Jihomoravský;cze.s81jih;
czevmjk;CZE;S82;;Jih;Jihomoravský;cze.s82jih;
czevmjk;AUT;S82;;Jih;Jihomoravský;aut.s82jih;
czevmjk;CZE;S91;;Jih;Jihomoravský;cze.s91jih;
czevmjk;SVK;S91;;Jih;Jihomoravský;svk.s91jih;

