systemName;region;route;banner;abbrev;city;root;altRouteNames
deubs;DEU-BB;S1;;;Oranienburg;deubb.s01;
deubs;DEU-BE;S1;;;Berlin;deube.s01;
deubs;DEU-BB;S2;;;Bernau;deubb.s02;
deubs;DEU-BE;S2;;;Berlin;deube.s02;
deubs;DEU-BB;S2;;Bla;Blankenfelde;deubb.s02bla;
deubs;DEU-BE;S3;;;Berlin;deube.s03;
deubs;DEU-BB;S3;;;Erkner;deubb.s03;
deubs;DEU-BE;S5;;;Berlin;deube.s05;
deubs;DEU-BB;S5;;;Strausberg;deubb.s05;
deubs;DEU-BB;S7;;;Potsdam;deubb.s07;
deubs;DEU-BE;S7;;;Berlin;deube.s07;
deubs;DEU-BB;S8;;;Birkenwerder;deubb.s08;
deubs;DEU-BE;S8;;;Berlin;deube.s08;
deubs;DEU-BB;S8;;Zeu;Zeuthen;deubb.s08zeu;
deubs;DEU-BE;S9;;;Berlin;deube.s09;
deubs;DEU-BB;S9;;;Schönefeld;deubb.s09;
deubs;DEU-BB;S25;;;Hennigsdorf;deubb.s25;
deubs;DEU-BE;S25;;;Berlin;deube.s25;
deubs;DEU-BB;S25;;Tet;Tetlow;deubb.s25tet;
deubs;DEU-BE;S26;;;Berlin;deube.s26;
deubs;DEU-BB;S26;;;Teltow;deubb.s26;
deubs;DEU-BE;S41;;;Berlin (clockwise);deube.s41;
deubs;DEU-BE;S42;;;Berlin (counterclockwise);deube.s42;
deubs;DEU-BE;S46;;;Berlin;deube.s46;S45
deubs;DEU-BB;S46;;;Königs Wusterhausen;deubb.s46;
deubs;DEU-BE;S47;;;Berlin;deube.s47;
deubs;DEU-BE;S75;;;Berlin;deube.s75;
deubs;DEU-BE;S85;;;Berlin;deube.s85;
deubs;DEU-BB;S85;;;Schönefeld;deubb.s85;S45
