systemName;route;banner;groupName;roots
deubs;S1;;;deubb.s01,deube.s01
deubs;S2;;;deubb.s02,deube.s02,deubb.s02bla
deubs;S3;;;deube.s03,deubb.s03
deubs;S5;;;deube.s05,deubb.s05
deubs;S7;;;deubb.s07,deube.s07
deubs;S8;;;deubb.s08,deube.s08,deubb.s08zeu
deubs;S9;;;deube.s09
deubs;S25;;;deubb.s25,deube.s25,deubb.s25tet
deubs;S26;;;deube.s26,deubb.s26
deubs;S41;;;deube.s41
deubs;S42;;;deube.s42
deubs;S45;;;deube.s45
deubs;S46;;;deube.s46,deubb.s46
deubs;S47;;;deube.s47
deubs;S75;;;deube.s75
deubs;S85;;;deube.s85
