systemName;region;route;banner;abbrev;city;root;altRouteNames
deuddt;DEU-SN;1;;Dre;Dresden;deusn.01dre;
deuddt;DEU-SN;2;;Dre;Dresden;deusn.02dre;
deuddt;DEU-SN;3;;Dre;Dresden;deusn.03dre;
deuddt;DEU-SN;4;;Dre;Dresden;deusn.04dre;
deuddt;DEU-SN;6;;Dre;Dresden;deusn.06dre;
deuddt;DEU-SN;7;;Dre;Dresden;deusn.07dre;
deuddt;DEU-SN;8;;Dre;Dresden;deusn.08dre;
deuddt;DEU-SN;9;;Dre;Dresden;deusn.09dre;
deuddt;DEU-SN;10;;Dre;Dresden;deusn.10dre;
deuddt;DEU-SN;11;;Dre;Dresden;deusn.11dre;
deuddt;DEU-SN;12;;Dre;Dresden;deusn.12dre;
deuddt;DEU-SN;13;;Dre;Dresden;deusn.13dre;
deuddt;DEU-SN;20;;Dre;Dresden;deusn.20dre;
