systemName;region;route;banner;abbrev;city;root;altRouteNames
deuhbs;DEU-HB;RS1;;Blu;Blumenthal;deuhb.rs01blu;
deuhbs;DEU-NI;RS1;;Bec;Beckendorf;deuni.rs01bec;
deuhbs;DEU-HB;RS1;;;Bremen;deuhb.rs01;
deuhbs;DEU-NI;RS1;;;Verden;deuni.rs01;
deuhbs;DEU-HB;RS2;;Bre;Bremerhaven;deuhb.rs02bre;
deuhbs;DEU-NI;RS2;;;Lubberstedt;deuni.rs02;
deuhbs;DEU-HB;RS2;;;Bremen;deuhb.rs02;
deuhbs;DEU-NI;RS2;;Twi;Twistringen;deuni.rs02twi;
deuhbs;DEU-NI;RS3;;;Oldenburg;deuni.rs03;
deuhbs;DEU-HB;RS3;;;Bremen;deuhb.rs03;
deuhbs;DEU-NI;RS3;;Bad;Bad Swischenahn branch;deuni.rs03bad;
deuhbs;DEU-NI;RS4;;;Nordenham;deuni.rs04;
deuhbs;DEU-HB;RS4;;;Bremen;deuhb.rs04;
deuhbs;DEU-NI;RS6;;;Rotenburg (Wümme);deuni.rs06;
deuhbs;DEU-NI;RS30;;;Oldenburg;deuni.rs30;
deuhbs;DEU-HB;RS30;;;Bremen;deuhb.rs30;
