systemName;region;route;banner;abbrev;city;root;altRouteNames
deuhs;DEU-NW;S1;;Min;Minden;deunw.s01min;
deuhs;DEU-NI;S1;;;Hannover;deuni.s01;
deuhs;DEU-NI;S2;;;Hannover;deuni.s02;
deuhs;DEU-NI;S3;;;Hannover;deuni.s03;
deuhs;DEU-NI;S4;;;Hannover;deuni.s04;
deuhs;DEU-NI;S5;;;Hannover;deuni.s05;
deuhs;DEU-NW;S5;;Pad;Paderborn;deunw.s05pad;
deuhs;DEU-NI;S6;;;Hannover;deuni.s06;
deuhs;DEU-NI;S7;;;Hannover;deuni.s07;
deuhs;DEU-NI;S8;;;Hannover;deuni.s08;
deuhs;DEU-NI;S21;;;Hannover;deuni.s21;
deuhs;DEU-NI;S51;;;Hannover;deuni.s51;
