systemName;region;route;banner;abbrev;city;root;altRouteNames
deuhsb;DEU-NI;1;;Han;Hannover;deuni.01han;
deuhsb;DEU-NI;2;;Han;Hannover;deuni.02han;
deuhsb;DEU-NI;3;;Han;Hannover;deuni.03han;
deuhsb;DEU-NI;4;;Han;Hannover;deuni.04han;
deuhsb;DEU-NI;5;;Han;Hannover;deuni.05han;
deuhsb;DEU-NI;6;;Han;Hannover;deuni.06han;
deuhsb;DEU-NI;7;;Han;Hannover;deuni.07han;
deuhsb;DEU-NI;8;;Han;Hannover;deuni.08han;
deuhsb;DEU-NI;9;;Han;Hannover;deuni.09han;
deuhsb;DEU-NI;10;;Han;Hannover;deuni.10han;
deuhsb;DEU-NI;11;;Han;Hannover;deuni.11han;
deuhsb;DEU-NI;16;;Han;Hannover;deuni.16han;
deuhsb;DEU-NI;17;;Han;Hannover;deuni.17han;
deuhsb;DEU-NI;18;;Han;Hannover;deuni.18han;
