systemName;region;route;banner;abbrev;city;root;altRouteNames
deukas;DEU-BW;S1;;Kar;Karlsruhe;deubw.s01kar;
deukas;DEU-BW;S2;;Kar;Karlsruhe;deubw.s02kar;
deukas;DEU-BW;S4;;Kar;Karlsruhe;deubw.s04kar;
deukas;DEU-RP;S5;;Wor;Wörth am Rhein;deurp.s05wor;
deukas;DEU-BW;S5;;Kar;Karlsruhe;deubw.s05kar;
deukas;DEU-BW;S6;;Pfo;Pforzheim;deubw.s06pfo;
deukas;DEU-BW;S7;;Kar;Karlsruhe;deubw.s07kar;
deukas;DEU-BW;S8;;Kar;Karlsruhe;deubw.s08kar;
deukas;DEU-BW;S11;;Kar;Karlsruhe;deubw.s11kar;
deukas;DEU-BW;S12;;Kar;Karlsruhe;deubw.s12kar;
deukas;DEU-BW;S31;;Kar;Karlsruhe;deubw.s31kar;
deukas;DEU-BW;S32;;Kar;Karlsruhe;deubw.s32kar;
deukas;DEU-BW;S41;;Hei;Heilbronn;deubw.s41hei;
deukas;DEU-BW;S42;;Hei;Heilbronn;deubw.s42hei;
deukas;DEU-RP;S51;;Wor;Wörth am Rhein;deurp.s51wor;
deukas;DEU-BW;S51;;Kar;Karlsruhe;deubw.s51kar;
